nama_penulis,rating,teks_ulasan,waktu,likes,sentimen_label
arly 27,5.0,"Gud
Simpel
Jelas
Ga menyesatkan
Rekomendid
Mas nya renyah renyah
Sat set
Gas.....",7 months ago,0,Netral
Hafiizh Moon,5.0,Toko terbaik yg jual laptop second.. Udah 2x belii tidak mengecewakan..,2 months ago,0,Positif
Risti Ana,5.0,"Respon penjual baik, semoga barang yg sampai sesuai ya... trimakasih 😊",3 months ago,0,Positif
R Fiuw Winlye,5.0,Beli macbook air di sini semoga awet,2 weeks ago,0,Positif
Fanny Putri Pratiwi,5.0,pelayanannya memuasan pokoknya mantap beli disini untuk harga terjangkau..,8 months ago,0,Positif
Ikhvan F. Yudhistira,5.0,"Mas nya ramah banget, pelayanan sangat oke, terbaik 👍 barang juga mulus banget",a year ago,0,Positif
Gandis Rahmadani,5.0,"Pelayanan ramah dan helpfull, laptop yang tersedia masih dalam kondisi bagus",2 months ago,0,Positif
Elvira Febrina,5.0,"Banyak pilihan laptopnya, pelayanan ramah",3 weeks ago,0,Positif
Fitri Ani,5.0,"Beli Laptop disini terpercaya, harga terjangkau👍👍",a month ago,0,Netral
Kresna Alya,5.0,"Pelayanannya bagus, ramah, tempatnya bersih, sejuk, nyaman..
Terbaik👍👍",2 months ago,0,Positif
Yunan Alvian,5.0,"Tempat nyaman, pelayanan ramah, dan barang bagus",6 months ago,0,Positif
Arif Hidayat,5.0,harga terjangkau dengan kualitas yang terbaik,2 months ago,0,Positif
Nur Fajriatul Habibah,5.0,"baguss, toko lengkap",2 weeks ago,0,Netral
dicky adi,5.0,Outlet penyedia laptop second berkualitas,3 months ago,0,Netral
Dimmas Setyo,5.0,"Toko Laptop terrekomend dijogja, kondisi barang rata"" bagus no minus lah
Harga juga kompetitif",7 months ago,0,Positif
Sukarto Sukarto,5.0,"Pelayanan nya sangat baik, banyak unit yang tersedia dan harga yang terjangkau cocok buat yang lagi nyari laptop",6 months ago,0,Positif
Ganesha Putra,5.0,"Gacorrr parah tokonya, pelayanan kerennn, jadi cari laptop second bener bener best dan terjamin masih gen terbaru🔥🔥",a year ago,0,Netral
Ardi Kurniawan Prasetyo,5.0,Tempat nyaman laptop banyak tipe harga miring josss,2 days ago,0,Positif
Abdain Gaming,5.0,baguss!!barang bagus harga murah👍🏻,a week ago,0,Positif
Guntur Wahyu,5.0,"kakak nya ramah banget, nanya apa aja dijawab. laptop second tapi kondisinya kayak barang baru, untuk harganya jangan ditanyakan lagi deh. the best pokoknya. lancar terus buat hero komputer 🙏🙏",a year ago,0,Positif
Gesha Az-zahra,5.0,"respon penjual ramahh, sat sett. kualitas oke, sesuai pict yang dikirim",4 months ago,0,Positif
Muhamad Najib,5.0,"Tempatnya nyaman, pelayanan ramah. Kalau mau beli laptop second berkualitas langsung gass kesini. Mantapp 👍",2 years ago,0,Positif
putri zaitun nisa,5.0,"Harga affordable, barang up date pelayanan ok bangettt",2 months ago,0,Netral
Imas Hasanah,5.0,Buat yg cari leptop second disini worth it bgt sihh..,a month ago,0,Netral
setyo bayu wicaksono,5.0,"Laptop second like new sangat recomended....puas membeli disini, sukses terus hero computer 👍",8 months ago,0,Netral
Yanuaris Nafirous,5.0,"laptopnya si keren keren, murah lagi, banyak pilihan. masnya jago buat ngejelasin ke customer, jadinya ga bingung milih yang sesuai kebutuhan",a year ago,0,Positif
Faizal SW,5.0,"Tempat jual beli laptop yang mantap. Ruangan nyaman, pelayanan baik, bisa cek pricelist lengkap lewat wa, jadi ga bingung mau pilih2. Barang second tapi masih bergaransi, jadi tenang mau beli. Mantap Hero Computer, recommended",8 months ago,0,Positif
Raregood GT,5.0,"Pelayanan ramah, lumayan banyak pilihan, harga dibawah pasaran",9 months ago,0,Positif
resa,5.0,Pelayanannya komunikatif dan ramah,a month ago,0,Positif
wahidriyanto -,4.0,Cocok si buat temen temen yang nyari laptop second dengan kualitas baru. Saya dapat leptop msi a15 like new dengan harga di bawah harga baru ada sedikit perubahan si di bagian penyimpan ssd yang ga sesuai seperti bawaan tapi gamasalah aman,2 years ago,0,Positif
Septiana Farida,5.0,pelayanan ramah ada diskon Jumat berkah pula... smoga awet2 🙌🏽,10 months ago,0,Positif
AHMAD MUFTI,5.0,Tempat yang tepat untuk kalian yang mau beli laptop second berkualitas dengan harga menarik. Pelanyannya ramah memuaskan. Pokoknya mantap 👍👍👍 sukses selalu HERO COMPUTER,3 years ago,0,Positif
Erlangga Mahes,5.0,"recommended banget tempat ini untuk jual atau beli laptop, pelayanan ramah harganya juga pas",a year ago,0,Positif
Fedoryan Akmal,5.0,"Barang bagus, mulus, dan terpercaya. Cocok deh belanja disini",4 months ago,0,Positif
Firnaa,5.0,"Ramah, bagus, rekomen kalau mau jual n beli leptop disni",4 months ago,0,Positif
Dony Marly Martiawan Siregar,5.0,"Udah lama mantau lewat instagram dan akhirnya nemu juga laptop yang sesuai budget. Tokonya bersih, produk yang ditawarkan bagus-bagus dan masih ada garansi resminya juga. Pelayanan ramah. Bisa banget kalau lagi mau nyari laptop second dengan kualitas yang bagus langsung dateng ke tokonya 😎.",2 years ago,0,Positif
Desi Nh,5.0,Alhamdulillah beli laptop sesuai kebutuhan dengan kondisi bagus bngt harga terjangkau.,4 months ago,0,Positif
titik nurwijayanti,5.0,"Kesekian kali beli laptop disini, tidak pernah mengecewakan, rekomended  bangat laptonya masih    baru2 dan garansi nya masih lama..",a year ago,0,Netral
Sak Ban,5.0,"Alhamdulillah, pelayanannya sangat ramah, dan leptop yang dijual berkualitas semua👍",a year ago,0,Positif
Bayu Setiyawan,5.0,Pelayanan baik dan ramah banget. Kondisi barang juga bagus,4 months ago,0,Positif
Afiq syaefuloh,5.0,pelayanan ramah dan cepatt🤩,a month ago,0,Positif
Aini Nur Hidayah,5.0,rekomen buat yg nyari laptop second tpi kualiatas bagus,3 months ago,0,Positif
Mf Iqbal,5.0,Mantab semoga berkah barokah,3 weeks ago,0,Netral
Thomas Winahyu,5.0,"tempat beli laptop bekas terbaik, pelayanan ramah pokoke joss gandoss 👍🏻👍🏻",3 years ago,0,Positif
AGHISNA RIZKA,5.0,Cari laptop yang bekas tapi bagus terawat dan terpercaya disini solusinya. Puas sekali dengan laptop yang didapat.,3 months ago,0,Positif
Dimas Setiawan,5.0,"pelayanan mantab, unit masih bagus semua, rekomen bgt buat cari laptop",a year ago,0,Positif
Adnan Kholib,5.0,"Laptopnya second berkualitas, ada promo, bonus banyak, wiss pokoke joss tenan neng kene",4 months ago,0,Netral
Dimas Ade,5.0,Tengkyuh buat pelayanan yg ramah dan ashoiy banget… 🙌🏻,Edited a year ago,0,Positif
Cand Ga,5.0,"pelayanan ramah, jual laptop lebih tinggi dari harga pasaran👍",3 months ago,0,Positif
Setyawan Djorghi,5.0,"Recommended buat mahasiswa, harga sesuai kualitas dan terjamin, seller ramah, pelayanan baik.Sukses terus buat toko nya.",2 years ago,0,Positif
Agus Dewantoro,5.0,Pelayananya bagus bgt di jelasinnya juga secara detail harga pelajar pkoknya recomend bgt,9 months ago,0,Positif
Zulfian Ramadhan,5.0,"Pelayanan ramah, kondisi laptop masih bagus bener2 lolos qc, well pokoknya bintang 5 👍",a year ago,0,Positif
Raka Herlambang,5.0,Leptop bekualitas dan aman😊😊,4 months ago,0,Netral
Agung Jaya Laksana,5.0,"Very trusted & recommended seller.. pembelian online direct trf, barang sesuai yg ditawarkan. Works 100%. Packing nya jg bagus, bubble wrapnya tebel",3 years ago,0,Positif
Muhammad Hafis,5.0,"Pelayanannya sangat oke, ramah dan sangat memberikan support apa yg kita butuhkan butuhkan. Pelayanannya juga benar-benar sangat ramah dan memberikan jaminan terhadap kebutuhan kita.",6 months ago,0,Positif
Pudin Pudin,5.0,"Ga salah pilih deh untuk tempat jual/beli laptop di Hero computer udah terbaik pokoknya, pelayanannya ramah, dan harga-harga laptopnya juga bisa menyesuaikan budget mahasiswa. 👍👍",7 months ago,0,Positif
Febriana Bulan.P.,5.0,"pelayanannnyaa sangatt baguusss, kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkaap dann baikk banget dikasihh free giftt dan diskon juga, thank youuu",9 months ago,0,Netral
Sobat Phubbing,5.0,tempat bagus nyaman pelayanan baik,6 months ago,0,Positif
Rifqy Hadar,5.0,Recommended sekali beli disini,a month ago,0,Netral
Veri Putra,5.0,"Pertama kali beli laptop second lihat di deskripsi kondisi diatas 90%, awalnya ragu trus akhirnya ngumpulin niat buat beli , belum pernah kesana belum lihat langsung barangnya dan waktu dateng malah seperti laptop baru, mulus banget dalaman juga masih ori semua, seller juga ramah fast respon kita konsultasi lasca beli masih dilayani dengan baik, pokoknya joss",11 months ago,0,Positif
SAFA THALITA FARAH SAPUTRA -,5.0,"Kalau mau beli laptop dengan pelayanan top dan harga bersaing, recommended banget! Bakal balik lagi kalau butuh gadget lainnya.",7 months ago,0,Positif
Fidyah astuti,5.0,Tempat jual laptop second teerrr Recomended 🫶🏻,2 months ago,0,Netral
220_Muhamad Rizki Sin Naba,5.0,pelayanan sangat ramah,a month ago,0,Positif
Ihis,5.0,Cocok buat yg cari laptop bekas murah dan bagus,2 months ago,0,Positif
Indo Maulana,5.0,"Puas beli laptop disini, pelayanan ramah super satset, rekomend bgt 👌",5 months ago,0,Positif
Isa Jaisyullah Hamid,5.0,"Seller fast respon, pilihan produk banyak dan mantap, murah dan masih garansi. Toko mudah terlihat kalo dari selatan sebelum alfamart 👍👍",2 years ago,0,Positif
Baharazka iqbal,5.0,Laptop lengkap bekas berkualitas premium . Ga bakal kecewa . Pelayanan ramah.,3 years ago,0,Netral
Ardan Tama,5.0,Pelayananya ramah. Kondisi laptop sangat baik. Kondisi laptop dijelaskan dengan baik. Harga terjangkau. Toko ini sangat direkomendasikan.,6 months ago,0,Positif
Ahmad Hanif Hasan Rosydi,5.0,"Seri terbaru pelayanan ramah, murah josjis",2 months ago,0,Positif
Arlana Alfatih,5.0,Toko laptop murah dan bergaransi,2 months ago,0,Netral
mohammad hasan rifai,5.0,"Tempat jual laptop second di jogja, rekomended sih, banyak berbagai macam laptop di sini, biarpun tempatnya kecil tapi nyaman sih..",a year ago,0,Positif
Vindi Dini,5.0,"Pelayanan ramah, walaupun second tapi barang masih baguss bngt. Recomen bngt si buat yang mau jual/beli laptop",7 months ago,0,Positif
Yunika Prianti45,5.0,Pelayanan oke barang masih kondisi baguss”,a year ago,0,Positif
Madunius,5.0,"Barang nya bagus, terjangkau harganya
Mantap pelayanan nya",a year ago,0,Positif
Rehaldian,5.0,pelayanan baik. mas baik jelasin kelebihan satu laptop dan lainnya,4 months ago,0,Positif
Rivan Prasetyo,5.0,Toko laptop seken berkualitas dengan harga yg miring..sangat recomended..maju terus Hero Computer 👍🏻👍🏻,a year ago,0,Netral
Alexander Vito Bramarista Galih. S,5.0,"Sangat baik dalam pelayanan, dan bisa bernegosiasi dengan sangat nyaman, sehingga tidak akan kecewa dengan pilihan laptop favorit yang diincar, semoga bisa berkembang terus..",3 years ago,0,Positif
Yuda Wahyu Anggara,5.0,Pelayanan bagus dan tidak mengecewakan,5 months ago,0,Positif
Rohadi Kuswara,5.0,"Barangnya bagus², dijamin aman",6 months ago,0,Positif
Farras Keviano Akia,5.0,"Pelayanan ramah, bisa konsultasi laptop, dan diarahkan sesuai budget dan kebutuhan",a year ago,0,Positif
Alfath Babeh Fadhlurrahman,5.0,"Jual laptop disini ga pake ribet, nanti mau coba beli disini 👍",3 months ago,0,Netral
Mohammad Zaini Naim,5.0,"Tempat nyaman, pelayanan ramah, harga terjangkau ..recommended untuk yang nyari laptop second bergaransi..... 👍",3 years ago,0,Positif
Ari Yani,5.0,Pelayanan yg sangat bagus. Mas nya bisa memberikan suggest laptop yang sesuai dengan kebutuhan kami.,7 months ago,0,Positif
Muhammad Iqbal,5.0,"Pelayanan mantap, software ori, barang mulus. Recommended.",11 months ago,0,Positif
Adelvia,5.0,baguss bangettt,2 months ago,0,Netral
Faddly Fauzy Ardiyanto,5.0,"Harga mantap, pelayanan memuaskan

recommended man👍🏼👍🏼",10 months ago,0,Positif
Rizal Andianto,5.0,"Repeat order ke 3x beli laptop disini, laptop 2nd yg masih seperti baru, recomended pokoknya 👍",a year ago,0,Netral
Nana Nina,5.0,"Pelayanan ramah, stok lengkap, banyak pilihan.  Harga terjangkau. Terimakasih 👍",a year ago,0,Positif
Purna Karyanto,3.0,harganya lumayan mahal,3 months ago,0,Negatif
Wisnu Dwi Anggana,3.0,Staf di toko offline tidak ramah.,3 years ago,0,Positif
lukman nugraha,5.0,"Beli asus tuf dash di toko ini, dari segi barang yang ada masih cukup bagus untuk laptop second, pelayanan juga bagus, feel free to ask mengenai laptop yang akan dibeli, fasilitas garansi juga tersedia untuk asus tuf yang saya beli, cek barang sampai yakin.",10 months ago,0,Positif
Stella Natalia,5.0,"Tokonya baguss, pelayanannya mantap cocok untuk yang nyari laptopp. The best toko dehh",2 years ago,0,Positif
Brilliant,3.0,admin sulit dihubungi jika ada masalah.,2 years ago,0,Negatif
Eka Pujilestari,2.0,Aksesoris bawaan tidak lengkap.,7 months ago,0,Netral
sekar comel,5.0,"Sangat baik pelayanannya, barangnya juga bagus bagus dan terbaruuu, kalauu nanyaa di jelaskan sangatt jelass, bole liat liat sepuasnyaa, rekomenn sekalii🤏🏻🤏🏻",10 months ago,0,Positif
take your dress,5.0,"Nice, siap pakai 👍🏻",2 months ago,0,Netral
Andi Surandi,3.0,Saya kecewa karena baterai diganti dengan yang KW,2 years ago,0,Negatif
M Azharuddin,2.0,Laptop tiba dengan kondisi port USB mati,8 months ago,0,Netral
Alvin Prasetyo,5.0,"Terbaik banget pokoknya hero computer, dari jaman saya kuliah beli disini sampe sekarang gantian beliin untuk adek saya 🥰",a year ago,0,Positif
Fonda Adiwendro,1.0,"Adminnya slow respons banget, nanya sedikit saja jawabnya lama.",2 years ago,0,Netral
M adzin,2.0,Admin sama sekali tidak membantu waktu saya komplain.,3 months ago,0,Netral
Hasna Salsabila,5.0,Aaaaa seneng banget beli laptop second disini😭❤ pelayanannya ramah banget trs laptopnya juga kualitas top dan harganya juga murahh. Bsk kalo mau beli laptop pasti balik kesini lagi deh,3 years ago,0,Positif
Muhammad Faiq Septian,5.0,"Tempat beli laptop recomended, kualitas nicee.",8 months ago,0,Netral
Adi Berliano,2.0,"Laptopnya panas banget, dipakai sebentar saja sudah overheat.",2 years ago,0,Netral
William,5.0,"Mantap, tempat nyaman, penjual ramah, dan harga termurah.",3 years ago,0,Positif
Adnan Rizki Nur Aji,5.0,"Pelayanan ramah, harga bersaing. Mantap!",2 years ago,0,Positif
solikah Solikah,3.0,"Fisik laptopnya banyak lecet, padahal di foto kelihatan mulus.",9 months ago,0,Positif
Riyan Bahtiar,5.0,"Alhamdulillah, pelayanan bagus, laptop juga bagus kondisinya, sukses terus my hero, hero komputer",a year ago,0,Positif
MUHAMMAD RIDWAN FIRMANSYAH,1.0,"Baterai laptop drop parah, cuma kuat setengah jam.",8 months ago,0,Netral
Anik Prihantini,1.0,Keyboardnya banyak tombol tidak berfungsi sejak baru datang.,2 years ago,0,Netral
Ahmad Shoffa,5.0,Mantap. Pelayanan ramah. Barangnya lengkap. Memuaskan.,a year ago,0,Positif
Purna Karyanto,5.0,Good place.. Terbaikk...,3 months ago,0,Netral
Nafi Mubarrok,3.0,tempatnya kurang bersih kotor,6 months ago,0,Negatif
Mareta Nata,5.0,"pelayanannya memuaskan dan beli laptop disini sesuai bugdet.
laptop kualitasnya bagus",6 months ago,0,Positif
andrian baskoro,2.0,"Charger yang dikirim bukan yang original, kesannya asal-asalan.",3 years ago,0,Netral
Gaby Zefanya,5.0,Pelayanannya ramah dan dijelaskan sedetail mungkin saat mau beli laptop. Good service! 😊,8 months ago,0,Positif
Bregas Wahyu Mulia,1.0,"Tidak rekomend, laptopnya kurang lengkap",2 years ago,0,Negatif
Egum Pahlevi,1.0,"Laptopnya lemot banget, tidak sesuai spek yang dijanjikan.",2 months ago,0,Positif
Irfaniar Rosyada,1.0,"Pelayanan after sales buruk, ketika laptop bermasalah tidak ditangani dengan baik.",2 years ago,0,Netral
Putra Dani Irawan,5.0,"Bagus, komplit banyak pilihan, penjualnya ramah",4 months ago,0,Positif
Bimo Khaerul Fuadi,3.0,"Stok barang tidak jelas, sering dibilang ada tapi ternyata kosong.",a year ago,0,Netral
Purnomo Yuni Saputra,5.0,"Pelayanan bagus, tempat nyaman, unit lengkap & bagus, rekomended pokoknya",a year ago,0,Positif
Dinna Amelia,2.0,kurang bagus pelayan nya,8 months ago,0,Netral
M aditya Rizky yulianto,5.0,Barang joss.kualitas mantabh.. pelayanan ramah,4 months ago,0,Positif
Deffaldo Farel Kanza,5.0,"Penjual nya ramah, harga terjangkau",4 months ago,0,Positif
anang andrianto,5.0,Maseh sabar...jos jis...nego puoolll mentok,9 months ago,0,Netral
Sheva Razak,2.0,karyawannya kurang sopan dan seperti terburu-buru.,11 months ago,0,Negatif
Dwi Sugianto17,5.0,Tempat jual laptop bekas recomended dan barang berkualitas. Apalagi penjualnya ramah dan mampu menjelaskan dengan baik,2 years ago,0,Positif
Natania Safa,2.0,Karyawan sering sibuk main HP daripada melayani.,a year ago,0,Netral
Playstore Lenovo,2.0,"Tidak ada display yang rapi, jadi susah melihat kondisi laptop.",2 years ago,0,Netral
Tika Aprillia Hendrawati,3.0,tidak ramah di kantong,a month ago,0,Positif
zinggih eko tianto,5.0,Lengkap banyak pilihan laptop dari spek standar hingga gaming.,9 months ago,0,Netral
Rifqi Fardani,5.0,"Service mantap, worth it all barang mantap",11 months ago,0,Positif
Oden To,5.0,"tempatnya bagus, ada garansi toko juga",10 months ago,0,Positif
Veisya,5.0,pelayanannya ramah dan laptopnya good quality + harganya terjangkau,6 months ago,0,Positif
Anang Adi,5.0,"Tempat nyaman, pelayanan bagus, tanya macem-macem jawabnya macem-macem
👍👍",3 months ago,0,Positif
Mas Ruro,5.0,Recoment bagi yg cari laptop tempat nyaman service ramah,6 months ago,0,Positif
bintang setiawan,5.0,"Banyak pilihan, harganya juga terjangkau mantaabbb pokoknyaa",8 months ago,0,Netral
Bayu Trsl,1.0,"Pernah beli di sini, ketika dicek barang nya bagus pas sampe rumah keyboard nya banyak yang tidak berfungsi ",8 months ago,0,Positif
Juan Kotten,5.0,"Pelayanan ramah, barang nya masih mulus sangat direkomendasikan",2 years ago,0,Positif
yuni apriyanti,3.0,Karyawan nya cuek bangett,2 years ago,0,Netral
Intan varameidita,5.0,"Pelayanan terbaik, recommended bgt deh",4 months ago,0,Positif
Mktfuln Nh (Punya tongtong),1.0,Kapok beli disini banyak minus nya,9 months ago,0,Netral
rina andriyani,4.0,"Banyak pilihan, pelayanan ramah, mantap harga terjangkau, kealitas terbaik",6 months ago,0,Positif
fira nurma,5.0,"Pelayanan ramah, tempat mudah ditemukan dan bersih. Barang masih baru². Recomend",8 months ago,0,Positif
Filhafirah Pratiwi,1.0,Adik saya beli disini Speaker laptop suaranya pecah.,5 months ago,0,Netral
Dimas Suranto,5.0,"Beli laptop seken di Hero computer sangat memuaskan, dengan tempat yang nyaman dan pelayanannya yang memuaskan",a year ago,0,Positif
Andaru Elok Sekar Artsanti,1.0,Berharap beli disini bagus ehh ternyata laptopnya lemot sekali padahal spesifikasinya tinggi.,2 months ago,0,Positif
Ibnu Abdul aziz,1.0,mbak2 nya di tanyain radak sewot wkwkw,8 months ago,0,Netral
Muhammad Nurizal,5.0,"produk bagus kondisi bner bner masih bagus mantap, pelayanan ramah, chat fastrespon lokasi nyaman",3 years ago,0,Positif
Agastya Abhipraya Erlangga,4.0,"pelayanan bagus, dikasih diskon tambahan",10 months ago,0,Positif
kumitir anggapratama,5.0,Pelayanan yang ramah dan barang berkualitas,2 months ago,0,Positif
Rizki Sisthannisa,1.0,Pelayanan tidak jujur Layar ada dead pixel tapi dibilangnya normal.,6 months ago,0,Netral
Didik Andy Irawan,1.0,Beli laptop di hero com ternyata Kamera laptop tidak berfungsi sama sekali pas buat zoom,2 years ago,0,Netral
Muhammad Fauzi Akbar,5.0,"Mantap, pelayanan bagus dan cepat",8 months ago,0,Positif
Hikmal Mahdi,1.0,Banyak yang tidak sesuai dengan yang ditawarkan,6 months ago,0,Positif
Aji Khotibul,5.0,"Beli laptop di Hero Computer sangat rekomended. Banyak pilihannya dan sellernya ramah dan baik betul.

Sukses selalu Hero Computer",3 years ago,0,Positif
Alegra,5.0,Pelayanan baik terbuka konsultasi via chat atau kunjungan di storenya langsung. Produk laptop bervariasi dan garansi panjang,8 months ago,0,Positif
Aldho Efbinawan Sa'adillah,5.0,"Tempat jual beli laptop second generasi baru, penjualnya ramah.",a year ago,0,Positif
Salsabela Afra Ramadhani,5.0,"mantap laptopnya like new sekali, dilayani sangat ramah. semoga awet laptopnya. sukses terus🌸🙏🏻",8 months ago,0,Positif
muhamad fauzi darmawan,5.0,"Tempat jual laptop second recommended di Jogja, laptop di cek dulu kondisinya 👍
Recommended untuk yg sedang cari laptop second",6 months ago,0,Netral
Rifgi Wahyu Surya Pratama,5.0,"Untukk pelayanan sangat bagus sekali disinii, yang tidak mengerti laptop atauu yang sama sekali tauu pastii diarahkan atau direkomendasikan sesuai budget yang kitaa punyaaa:)",a year ago,0,Positif
Muhamad Bimo,5.0,Yang tbtb cari laptop.,3 months ago,0,Netral
Immawan Wahyudin,5.0,"Pelayanan terbaik, laptop second berkualitas",5 months ago,0,Positif
Satya Rhey,3.0,Tempat ny kurang bagus,a month ago,0,Netral
Khairiyah,5.0,Pelayanan ramah unitnya bagus dan terjaga,4 months ago,0,Positif
story of Dec,5.0,tidak rekomen buat yang cari laptop second,3 years ago,0,Netral
03_ Chevy Wistan Kalandra C.,5.0,"mantap, tokonya nyaman buat beli laptop second, pilihan banyak dan masih bagus bagus. gacor",9 months ago,0,Positif
heri wahyuningsih,3.0,buat mahasiswa yang mau cari cari laptop di Jogja mending pikir2 d,10 months ago,0,Netral
rangga bayu,5.0,Tak kasih info bosku yang mau cari laptop bekas di jogja langsung saja ke hero computer tempat nya recomended bangett,2 years ago,0,Netral
Yasmine Shazia Azzaria K,3.0,Kondisi laptop lumayan,6 months ago,0,Netral
Hafid Afi,5.0,Mantap barang bagus,2 months ago,0,Positif
muchsin muzafar,2.0,"Tempatnya tolong di perhatikan lagi, saya kesitu banyak sampah jajan",4 months ago,0,Netral
Fey L,5.0,"Servisnya bagus, dapet diskon jg",4 months ago,0,Positif
Muhammad Huda,1.0,Niat hati mau tukar tambah ternyata malah ribet,a year ago,0,Netral
Muhammad Ridwan,5.0,"Tempatnya bersih,pelayanan informatif harga relatif terjangkau",2 years ago,0,Positif
bsi eka,1.0,Tidak ada opsi lain barang nya kurang memuaskan,a month ago,0,Netral
Taqitaqi,5.0,"Pelayanan sangat baik, barang juga masih sangat baik baik",2 months ago,0,Positif
Ria Dini Andita,1.0,"Karyawan nya melayani sambil makan batagor, tidak punya attitude",6 months ago,0,Netral
Bagus Alif,5.0,"jual beli laptop yogyakarta dan sekitarnya, barang bagus harga terjangkau",a year ago,0,Positif
Alfathan Nur,3.0,Beli laptop disni tidak dapat diskonnya,7 months ago,0,Netral
Khoirunnisaa Amalia,5.0,"Laptop berkualitas dengan harga terbaik, insyaAllah amanah 👍",5 months ago,0,Positif
Nauval M habib,3.0,"Kondisi toko tidak terlalu meyakinkan, barangnya terlihat berantakan.",2 months ago,0,Netral
El Sinorita,5.0,"Pelayanannya ramah, penjelasannya lengkap",3 months ago,0,Positif
SEKAR ARUM SAYEKTI,3.0,Baterai laptop turun drastis dalam waktu singkat.,4 months ago,0,Netral
Candra Darmayanti,5.0,"Pelayanan ramah, barangnya lengkap bervariasi, banyak bonusnyaa",2 years ago,0,Positif
Edwin Gaso,5.0,"Pelayanan mantap, banyak diskon. Langsung cus gais👍🏾",a year ago,0,Positif
Meirisa Ashari,5.0,"baguss, pelayanan memuaskan",a month ago,0,Positif
FAJAR DESTA,1.0,"Pelayanan tidak ramah,dan harga yang mahal ,barang nya biasa saja...",3 years ago,0,Negatif
Faris Yusuf Baktiar,5.0,Recommended buat cari laptop 2nd berkualitas,3 months ago,0,Netral
Rahmadiyah Salsabila,3.0,ketersediaan laptopnya tidak banyak,6 months ago,0,Netral
Azka Shadam,3.0,"Karyawan nya sepertinya baru, komunikasinya kurang jelas ",11 months ago,0,Negatif
Niam Fauzi,5.0,Laptop bekas rasa baruu Joss harga murah kualitas bintang 5 nek ragu2 rasah tuku nek kene,2 years ago,0,Netral
NOPAL TRAVEL,5.0,"Laptop Like new juga ada disini, harga affordable",a year ago,0,Netral
Lily Berlian,5.0,"Pelayanannya oke banget, kualitasnya juga bagus banget ✨✨✨✨🥬",6 months ago,0,Positif
Mikel,2.0,"Beli disini pas sampe rumah Kipas laptop berisik sekali, seperti mau rusak.",2 months ago,0,Negatif
Muhamad iqbal Ardiansyah,5.0,Pembelian di hero computer jogjaa sangat baik ramahh dan harganya terjangkau pelayanan jugaa baikk,7 months ago,0,Positif
vikita windarwati,5.0,"Beli Asus M1403QA disini, bagus, informatif, dapat bonusan cleaner / mouse pula. Sy pilih yang cleaner

Tempatnya enak, adem dan AC

Terima kasih Hero Computer, bismillah semoga laptop awet",a year ago,0,Positif
Shodik Nur Fauzi,1.0,Tidak terpercaya,a year ago,0,Netral
Bayu Pratama,5.0,"Tempatnya nyaman, seller nya ramah dan menjelaskan detail produk nya mantap jadi pembeli mudah mengerti. Rekomen banget, apalagi kualitas barang nya oke semua",2 years ago,0,Positif
Nur Azizah Muyassaroh,5.0,"Pelayanan bagus, harga terjangkau, barang OK",6 months ago,0,Positif
PTE1 007 Naufal Hanifalwan,5.0,"murah, bergaransi, dan banyak varian pilihan laptop",10 months ago,0,Netral
fatchurrozaq Prasetiyojati,2.0,Admin nya  tidak profesional,8 months ago,0,Netral
Adi Sasono,5.0,Tempat nyaman laptop bekas harga murah se jogjaa,a year ago,0,Positif
Guntoro Yudhy Kusuma,1.0,"Tolong di perhatikan lagi untuk karyawan nya yang memakai topi, respon nya tidak enak ",9 months ago,0,Netral
Arif Setyo Bowo,5.0,"Masya Allah, sip banget, like new laptopnya, hemat 1 jtan Alhamdulillah.",6 months ago,0,Netral
Veriana Indah Citra,5.0,"Banyak pilihan bisa menyesuaikan budget dan kebutuhan, staffnya juga ramah-ramah",a year ago,0,Netral
071_ Nathasa Caroline,1.0,Port-port laptop banyak yang rusak dan tidak diberitahu sebelumnya.,a month ago,0,Negatif
MUHAMMAD FARID HASAN,5.0,"Barang banyak yg masih garansi resmi, harga terjangkau",a year ago,0,Netral
Abdul Ghofur,5.0,"Alhamdulillah pelayanannya sangat sangat ramah, masnya yang jual juga sangat ramah dan tentunya laptopnya juga sangat bagus dan recomended serta terjamin kualitasnya serta bergaransi resmi sampai waktu yg lama. Pokoknya pas banget deh dan akhirnya nemu juga toko laptop yg sesuai harapan dan tentunya harga yg bersahabat😊👍🏼👍🏼👍🏼 top pokoknya. Yang ingin cari laptop dengan badget yg pas dan sesuai dengan harapan ayo mampir di toko hero komputer.☺",a year ago,0,Positif
Nerissa Kusuma,5.0,"Super bagus, super memuaskan, pelayanannya ramahh, baikk, dan jelass.
Kl ga paham komputer, dicekin + dijelasin no tipu tipu. Terbaik pokonyaa. Beli komputer/laptop di sini tidak mengecewakannn 👍🏻👍🏻👍🏻👍🏻😍",a year ago,0,Positif
Mario Tri Wahyugo,5.0,"Tempat penjualan laptop bekas like new paling recomended dan terpercaya
Ada garansi juga",2 years ago,0,Netral
Fatkhur Wicaksono,2.0,Terlalu mahal untuk kantong mahasiswa,5 months ago,0,Negatif
Dokumen tasi,5.0,Mantap Barang Baguss amanahh joss,3 months ago,0,Positif
Raafi,5.0,Recommended banget buat nyari laptop bekas yang murah !,2 years ago,0,Netral
