nama_penulis,rating,teks_ulasan,waktu,likes,case_holding_sentimen,sentimen,ulasan_bersih
Desi Nh,5.0,Alhamdulillah beli laptop sesuai kebutuhan dengan kondisi bagus bngt harga terjangkau.,4 months ago,0,Netral,Positif,alhamdulillah beli laptop sesuai butuh kondisi bagus bngt harga jangkau
titik nurwijayanti,5.0,"Kesekian kali beli laptop disini, tidak pernah mengecewakan, rekomended  bangat laptonya masih    baru2 dan garansi nya masih lama..",a year ago,0,Netral,Positif,sekian kali beli laptop kecewa rekomended bangat laptonya garansi nya
Sak Ban,5.0,"Alhamdulillah, pelayanannya sangat ramah, dan leptop yang dijual berkualitas semua👍",a year ago,0,Netral,Positif,alhamdulillah layan ramah leptop jual kualitas
Bayu Setiyawan,5.0,Pelayanan baik dan ramah banget. Kondisi barang juga bagus,4 months ago,0,Netral,Positif,layan ramah banget kondisi barang bagus
Afiq syaefuloh,5.0,pelayanan ramah dan cepatt🤩,a month ago,0,Netral,Positif,layan ramah cepatt
Aini Nur Hidayah,5.0,rekomen buat yg nyari laptop second tpi kualiatas bagus,3 months ago,0,Netral,Positif,rekomen yg nyari laptop second tpi kualiatas bagus
Mf Iqbal,5.0,Mantab semoga berkah barokah,3 weeks ago,0,Netral,Positif,mantab moga berkah barokah
Thomas Winahyu,5.0,"tempat beli laptop bekas terbaik, pelayanan ramah pokoke joss gandoss 👍🏻👍🏻",3 years ago,0,Netral,Positif,beli laptop bekas baik layan ramah pokoke joss gandoss
AGHISNA RIZKA,5.0,Cari laptop yang bekas tapi bagus terawat dan terpercaya disini solusinya. Puas sekali dengan laptop yang didapat.,3 months ago,0,Netral,Positif,cari laptop bekas bagus awat percaya solusi puas laptop
Dimas Setiawan,5.0,"pelayanan mantab, unit masih bagus semua, rekomen bgt buat cari laptop",a year ago,0,Netral,Positif,layan mantab unit bagus rekomen bgt cari laptop
Adnan Kholib,5.0,"Laptopnya second berkualitas, ada promo, bonus banyak, wiss pokoke joss tenan neng kene",4 months ago,0,Netral,Positif,laptop second kualitas promo bonus wiss pokoke joss tenan neng kene
Dimas Ade,5.0,Tengkyuh buat pelayanan yg ramah dan ashoiy banget… 🙌🏻,Edited a year ago,0,Netral,Positif,tengkyuh layan yg ramah ashoiy banget
Cand Ga,5.0,"pelayanan ramah, jual laptop lebih tinggi dari harga pasaran👍",3 months ago,0,Netral,Positif,layan ramah jual laptop harga pasar
Setyawan Djorghi,5.0,"Recommended buat mahasiswa, harga sesuai kualitas dan terjamin, seller ramah, pelayanan baik.Sukses terus buat toko nya.",2 years ago,0,Netral,Positif,recommended mahasiswa harga sesuai kualitas jamin seller ramah layan baiksukses toko nya
Agus Dewantoro,5.0,Pelayananya bagus bgt di jelasinnya juga secara detail harga pelajar pkoknya recomend bgt,9 months ago,0,Netral,Positif,pelayananya bagus bgt jelasinnya detail harga ajar pkoknya recomend bgt
Zulfian Ramadhan,5.0,"Pelayanan ramah, kondisi laptop masih bagus bener2 lolos qc, well pokoknya bintang 5 👍",a year ago,0,Netral,Positif,layan ramah kondisi laptop bagus bener lolos qc well pokok bintang
Raka Herlambang,5.0,Leptop bekualitas dan aman😊😊,4 months ago,0,Netral,Positif,leptop bekualitas aman
Agung Jaya Laksana,5.0,"Very trusted & recommended seller.. pembelian online direct trf, barang sesuai yg ditawarkan. Works 100%. Packing nya jg bagus, bubble wrapnya tebel",3 years ago,0,Positif,Positif,very trusted recommended seller beli online direct trf barang sesuai yg tawar works packing nya jg bagus bubble wrapnya tebel
Muhammad Hafis,5.0,"Pelayanannya sangat oke, ramah dan sangat memberikan support apa yg kita butuhkan butuhkan. Pelayanannya juga benar-benar sangat ramah dan memberikan jaminan terhadap kebutuhan kita.",6 months ago,0,Netral,Positif,layan oke ramah support yg butuh butuh layan benarbenar ramah jamin butuh
Pudin Pudin,5.0,"Ga salah pilih deh untuk tempat jual/beli laptop di Hero computer udah terbaik pokoknya, pelayanannya ramah, dan harga-harga laptopnya juga bisa menyesuaikan budget mahasiswa. 👍👍",7 months ago,0,Netral,Positif,ga salah pilih deh jualbeli laptop hero computer udah baik pokok layan ramah hargaharga laptop sesuai budget mahasiswa
Febriana Bulan.P.,5.0,"pelayanannnyaa sangatt baguusss, kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn, barang barangnyaa jugaa lengkaap dann baikk banget dikasihh free giftt dan diskon juga, thank youuu",9 months ago,0,Positif,Positif,pelayanannnyaa sangatt baguusss kakak kakak nyaa gercepp dann ramahhh selaluu fastt responn barang barangnyaa jugaa lengkaap dann baikk banget dikasihh free giftt diskon thank youuu
Sobat Phubbing,5.0,tempat bagus nyaman pelayanan baik,6 months ago,0,Netral,Positif,bagus nyaman layan
Rifqy Hadar,5.0,Recommended sekali beli disini,a month ago,0,Netral,Positif,recommended beli
Veri Putra,5.0,"Pertama kali beli laptop second lihat di deskripsi kondisi diatas 90%, awalnya ragu trus akhirnya ngumpulin niat buat beli , belum pernah kesana belum lihat langsung barangnya dan waktu dateng malah seperti laptop baru, mulus banget dalaman juga masih ori semua, seller juga ramah fast respon kita konsultasi lasca beli masih dilayani dengan baik, pokoknya joss",11 months ago,0,Netral,Positif,kali beli laptop second lihat deskripsi kondisi atas ragu trus ngumpulin niat beli kesana lihat langsung barang dateng laptop mulus banget dalam ori seller ramah fast respon konsultasi lasca beli layan pokok joss
SAFA THALITA FARAH SAPUTRA -,5.0,"Kalau mau beli laptop dengan pelayanan top dan harga bersaing, recommended banget! Bakal balik lagi kalau butuh gadget lainnya.",7 months ago,0,Positif,Positif,beli laptop layan top harga saing recommended banget butuh gadget
Fidyah astuti,5.0,Tempat jual laptop second teerrr Recomended 🫶🏻,2 months ago,0,Netral,Positif,jual laptop second teerrr recomended
220_Muhamad Rizki Sin Naba,5.0,pelayanan sangat ramah,a month ago,0,Netral,Positif,layan ramah
Ihis,5.0,Cocok buat yg cari laptop bekas murah dan bagus,2 months ago,0,Netral,Positif,cocok yg cari laptop bekas murah bagus
Indo Maulana,5.0,"Puas beli laptop disini, pelayanan ramah super satset, rekomend bgt 👌",5 months ago,0,Positif,Positif,puas beli laptop layan ramah super satset rekomend bgt
Isa Jaisyullah Hamid,5.0,"Seller fast respon, pilihan produk banyak dan mantap, murah dan masih garansi. Toko mudah terlihat kalo dari selatan sebelum alfamart 👍👍",2 years ago,0,Positif,Positif,seller fast respon pilih produk mantap murah garansi toko mudah kalo selatan alfamart
Baharazka iqbal,5.0,Laptop lengkap bekas berkualitas premium . Ga bakal kecewa . Pelayanan ramah.,3 years ago,0,Netral,Positif,laptop lengkap bekas kualitas premium ga kecewa layan ramah
Ardan Tama,5.0,Pelayananya ramah. Kondisi laptop sangat baik. Kondisi laptop dijelaskan dengan baik. Harga terjangkau. Toko ini sangat direkomendasikan.,6 months ago,0,Netral,Positif,pelayananya ramah kondisi laptop kondisi laptop harga jangkau toko rekomendasi
Ahmad Hanif Hasan Rosydi,5.0,"Seri terbaru pelayanan ramah, murah josjis",2 months ago,0,Netral,Positif,seri baru layan ramah murah josjis
Arlana Alfatih,5.0,Toko laptop murah dan bergaransi,2 months ago,0,Netral,Positif,toko laptop murah garansi
mohammad hasan rifai,5.0,"Tempat jual laptop second di jogja, rekomended sih, banyak berbagai macam laptop di sini, biarpun tempatnya kecil tapi nyaman sih..",a year ago,0,Netral,Positif,jual laptop second jogja rekomended sih laptop biarpun tempat nyaman sih
Vindi Dini,5.0,"Pelayanan ramah, walaupun second tapi barang masih baguss bngt. Recomen bngt si buat yang mau jual/beli laptop",7 months ago,0,Netral,Positif,layan ramah second barang baguss bngt recomen bngt si jualbeli laptop
Yunika Prianti45,5.0,Pelayanan oke barang masih kondisi baguss”,a year ago,0,Netral,Positif,layan oke barang kondisi baguss
Madunius,5.0,"Barang nya bagus, terjangkau harganya
Mantap pelayanan nya",a year ago,0,Netral,Positif,barang nya bagus jangkau harga mantap layan nya
Rehaldian,5.0,pelayanan baik. mas baik jelasin kelebihan satu laptop dan lainnya,4 months ago,0,Netral,Positif,layan mas jelasin lebih laptop
Rivan Prasetyo,5.0,Toko laptop seken berkualitas dengan harga yg miring..sangat recomended..maju terus Hero Computer 👍🏻👍🏻,a year ago,0,Netral,Positif,toko laptop ken kualitas harga yg miringsangat recomendedmaju hero computer
Alexander Vito Bramarista Galih. S,5.0,"Sangat baik dalam pelayanan, dan bisa bernegosiasi dengan sangat nyaman, sehingga tidak akan kecewa dengan pilihan laptop favorit yang diincar, semoga bisa berkembang terus..",3 years ago,0,Netral,Positif,layan negosiasi nyaman kecewa pilih laptop favorit incar moga kembang
Yuda Wahyu Anggara,5.0,Pelayanan bagus dan tidak mengecewakan,5 months ago,0,Netral,Positif,layan bagus kecewa
Rohadi Kuswara,5.0,"Barangnya bagus², dijamin aman",6 months ago,0,Netral,Positif,barang bagus jamin aman
Farras Keviano Akia,5.0,"Pelayanan ramah, bisa konsultasi laptop, dan diarahkan sesuai budget dan kebutuhan",a year ago,0,Netral,Positif,layan ramah konsultasi laptop arah sesuai budget butuh
Alfath Babeh Fadhlurrahman,5.0,"Jual laptop disini ga pake ribet, nanti mau coba beli disini 👍",3 months ago,0,Netral,Positif,jual laptop ga pake ribet coba beli
Mohammad Zaini Naim,5.0,"Tempat nyaman, pelayanan ramah, harga terjangkau ..recommended untuk yang nyari laptop second bergaransi..... 👍",3 years ago,0,Netral,Positif,nyaman layan ramah harga jangkau recommended nyari laptop second garansi
Ari Yani,5.0,Pelayanan yg sangat bagus. Mas nya bisa memberikan suggest laptop yang sesuai dengan kebutuhan kami.,7 months ago,0,Netral,Positif,layan yg bagus mas nya suggest laptop sesuai butuh
Muhammad Iqbal,5.0,"Pelayanan mantap, software ori, barang mulus. Recommended.",11 months ago,0,Netral,Positif,layan mantap software ori barang mulus recommended
Adelvia,5.0,baguss bangettt,2 months ago,0,Netral,Positif,baguss bangettt
Faddly Fauzy Ardiyanto,5.0,"Harga mantap, pelayanan memuaskan

recommended man👍🏼👍🏼",10 months ago,0,Netral,Positif,harga mantap layan muas recommended man
Rizal Andianto,5.0,"Repeat order ke 3x beli laptop disini, laptop 2nd yg masih seperti baru, recomended pokoknya 👍",a year ago,0,Netral,Positif,repeat order x beli laptop laptop nd yg recomended pokok
Nana Nina,5.0,"Pelayanan ramah, stok lengkap, banyak pilihan.  Harga terjangkau. Terimakasih 👍",a year ago,0,Netral,Positif,layan ramah stok lengkap pilih harga jangkau terimakasih
Purna Karyanto,5.0,Good place.. Terbaikk...,3 months ago,0,Positif,Positif,good place terbaikk
Wisnu Dwi Anggana,5.0,"Mantap, harga murah tempatnya enak nyaman pelayanannya ramah.",3 years ago,0,Netral,Positif,mantap harga murah tempat enak nyaman layan ramah
lukman nugraha,5.0,"Beli asus tuf dash di toko ini, dari segi barang yang ada masih cukup bagus untuk laptop second, pelayanan juga bagus, feel free to ask mengenai laptop yang akan dibeli, fasilitas garansi juga tersedia untuk asus tuf yang saya beli, cek barang sampai yakin.",10 months ago,0,Positif,Positif,beli asus tuf dash toko segi barang bagus laptop second layan bagus feel free to ask laptop beli fasilitas garansi sedia asus tuf beli cek barang
Stella Natalia,5.0,"Tokonya baguss, pelayanannya mantap cocok untuk yang nyari laptopp. The best toko dehh",2 years ago,0,Positif,Positif,toko baguss layan mantap cocok nyari laptopp the best toko dehh
Brilliant,5.0,"Allhamdullilah produknya tidak mengecewakan, Garansi toko + garansi pabrikan masih aktif",2 years ago,0,Netral,Positif,allhamdullilah produk kecewa garansi toko garansi pabrikan aktif
Eka Pujilestari,5.0,"Pelayananannya ramah, pilihan banyak n semoga barangnya baguss awett☺️",7 months ago,0,Netral,Positif,pelayananannya ramah pilih n moga barang baguss awett
sekar comel,5.0,"Sangat baik pelayanannya, barangnya juga bagus bagus dan terbaruuu, kalauu nanyaa di jelaskan sangatt jelass, bole liat liat sepuasnyaa, rekomenn sekalii🤏🏻🤏🏻",10 months ago,0,Netral,Positif,layan barang bagus bagus terbaruuu kalauu nanyaa sangatt jelass bole liat liat sepuasnyaa rekomenn sekali
take your dress,5.0,"Nice, siap pakai 👍🏻",2 months ago,0,Positif,Positif,nice pakai
Andi Surandi,5.0,"Mantap, Spek dan harga nya cukup sesuai. Tempat dan pelayanan nya juga nyaman.",2 years ago,0,Netral,Positif,mantap spek harga nya sesuai layan nya nyaman
M Azharuddin,5.0,"pilihan laptop banyak, kualitas laptopnya bagus bagus, ada garansi toko juga 👍🏻",8 months ago,0,Netral,Positif,pilih laptop kualitas laptop bagus bagus garansi toko
Alvin Prasetyo,5.0,"Terbaik banget pokoknya hero computer, dari jaman saya kuliah beli disini sampe sekarang gantian beliin untuk adek saya 🥰",a year ago,0,Netral,Positif,baik banget pokok hero computer jaman kuliah beli sampe ganti beliin adek
Fonda Adiwendro,5.0,"Recomended sekali tempat cari laptop 2nd tapi kualitas dan kondisi masih oke bangett, penjual juga amanah.. thanks Hero Computer",2 years ago,0,Netral,Positif,recomended cari laptop nd kualitas kondisi oke bangett jual amanah thanks hero computer
M adzin,5.0,pelayanannya ramah dan kualitas laptopnya bagus²,3 months ago,0,Netral,Positif,layan ramah kualitas laptop bagus
Hasna Salsabila,5.0,Aaaaa seneng banget beli laptop second disini😭❤ pelayanannya ramah banget trs laptopnya juga kualitas top dan harganya juga murahh. Bsk kalo mau beli laptop pasti balik kesini lagi deh,3 years ago,0,Positif,Positif,aaaaa neng banget beli laptop second layan ramah banget trs laptop kualitas top harga murahh bsk kalo beli laptop kesini deh
Muhammad Faiq Septian,5.0,"Tempat beli laptop recomended, kualitas nicee.",8 months ago,0,Netral,Positif,beli laptop recomended kualitas nicee
Adi Berliano,5.0,"Harga terjangkau , bisa nego , barang nya masih garansi resmi . Cocok buat yang mau cari laptop 2nd berkualitas",2 years ago,0,Netral,Positif,harga jangkau nego barang nya garansi resmi cocok cari laptop nd kualitas
William,5.0,"Mantap, tempat nyaman, penjual ramah, dan harga termurah.",3 years ago,0,Netral,Positif,mantap nyaman jual ramah harga murah
Adnan Rizki Nur Aji,5.0,"Pelayanan ramah, harga bersaing. Mantap!",2 years ago,0,Netral,Positif,layan ramah harga saing mantap
solikah Solikah,5.0,"Jadi sadar beli laptop ga asal murah dan tergiur spek tinggi tapi langsung rusak. Di Hero Computer isinya laptoo bekas generasi baru semua, jaminan barang bagus seperti baru dan harga bersaing banget",9 months ago,0,Netral,Positif,sadar beli laptop ga murah giur spek langsung rusak hero computer isi laptoo bekas generasi jamin barang bagus harga saing banget
Riyan Bahtiar,5.0,"Alhamdulillah, pelayanan bagus, laptop juga bagus kondisinya, sukses terus my hero, hero komputer",a year ago,0,Netral,Positif,alhamdulillah layan bagus laptop bagus kondisi sukses my hero hero komputer
MUHAMMAD RIDWAN FIRMANSYAH,5.0,Rekomendasi beli laptop second like new👍🏻,8 months ago,0,Netral,Positif,rekomendasi beli laptop second like new
Anik Prihantini,5.0,"Pelayanan nya baik,ramah,fast respon juga,harga Topp,,Ama makasih ya bonusnya",2 years ago,0,Netral,Positif,layan nya baikramahfast respon jugaharga toppama makasih ya bonus
Ahmad Shoffa,5.0,Mantap. Pelayanan ramah. Barangnya lengkap. Memuaskan.,a year ago,0,Netral,Positif,mantap layan ramah barang lengkap muas
Purna Karyanto,5.0,Good place.. Terbaikk...,3 months ago,0,Positif,Positif,good place terbaikk
Nafi Mubarrok,5.0,Tempat beli laptop terlengkap di Yogyakarta dengan harga murah. Pelayanan juga ramah. Tempat nyaman,6 months ago,0,Netral,Positif,beli laptop lengkap yogyakarta harga murah layan ramah nyaman
Mareta Nata,5.0,"pelayanannya memuaskan dan beli laptop disini sesuai bugdet.
laptop kualitasnya bagus",6 months ago,0,Netral,Positif,layan muas beli laptop sesuai bugdet laptop kualitas bagus
andrian baskoro,5.0,"Recomend banget sih buat yg cari laptop bekas. Barangnya juga oke banget sih, ngha nyesel jauh jauh ke jogja buat beli laptop ini. Ciiiiiaaaamiiik banget",3 years ago,0,Netral,Positif,recomend banget sih yg cari laptop bekas barang oke banget sih ngha nyesel jogja beli laptop ciiiiiaaaamiiik banget
Gaby Zefanya,5.0,Pelayanannya ramah dan dijelaskan sedetail mungkin saat mau beli laptop. Good service! 😊,8 months ago,0,Positif,Positif,layan ramah detail beli laptop good service
Bregas Wahyu Mulia,5.0,"Laptop disini kualitas bagus semua, pelayanan pelanggan joss, rekomen kalau mau cari laptop bekas berkualitas",2 years ago,0,Netral,Positif,laptop kualitas bagus layan langgan joss rekomen cari laptop bekas kualitas
Egum Pahlevi,5.0,"Tempatnya nyaman, pelayananya mantap 👍👍",2 months ago,0,Netral,Positif,tempat nyaman pelayananya mantap
Irfaniar Rosyada,5.0,"barang oke, pelayanan ramah, trusted",2 years ago,0,Netral,Positif,barang oke layan ramah trusted
Putra Dani Irawan,5.0,"Bagus, komplit banyak pilihan, penjualnya ramah",4 months ago,0,Netral,Positif,bagus komplit pilih jual ramah
Bimo Khaerul Fuadi,5.0,"Pelayanan ramah, harga murah, barang berkualitas",a year ago,0,Netral,Positif,layan ramah harga murah barang kualitas
Purnomo Yuni Saputra,5.0,"Pelayanan bagus, tempat nyaman, unit lengkap & bagus, rekomended pokoknya",a year ago,0,Netral,Positif,layan bagus nyaman unit lengkap bagus rekomended pokok
Dinna Amelia,5.0,"Tempat nyaman,penanganan ramah rekomendasi banget",8 months ago,0,Netral,Positif,nyamanpenanganan ramah rekomendasi banget
M aditya Rizky yulianto,5.0,Barang joss.kualitas mantabh.. pelayanan ramah,4 months ago,0,Netral,Positif,barang josskualitas mantabh layan ramah
Deffaldo Farel Kanza,5.0,"Penjual nya ramah, harga terjangkau",4 months ago,0,Netral,Positif,jual nya ramah harga jangkau
anang andrianto,5.0,Maseh sabar...jos jis...nego puoolll mentok,9 months ago,0,Netral,Positif,maseh sabarjos jisnego puoolll mentok
Sheva Razak,5.0,"mantabb barangnya keren2, beli bekas serasa beli baru 🤟",11 months ago,0,Netral,Positif,mantabb barang keren beli bekas serasa beli
Dwi Sugianto17,5.0,Tempat jual laptop bekas recomended dan barang berkualitas. Apalagi penjualnya ramah dan mampu menjelaskan dengan baik,2 years ago,0,Netral,Positif,jual laptop bekas recomended barang kualitas jual ramah
Natania Safa,5.0,"buat yang lagi laptop second bisa banget ke toko hero computer ini.. pelayanannya ramah, dijelaskan detail spesifikasi dari laptop yang dibutuhkan, di berikan rekomendasi juga kualitas like new dan bisa dapet potongan harga.. mantap pokoknya👍👍👍",a year ago,0,Netral,Positif,laptop second banget toko hero computer layan ramah detail spesifikasi laptop butuh rekomendasi kualitas like new dapet potong harga mantap pokok
Playstore Lenovo,5.0,"Walaupun bekas, tapi berkualitas dan harga buat pelanggan puas. Semoga semakin amanah. Terima kasih.",2 years ago,0,Netral,Positif,bekas kualitas harga langgan puas moga amanah terima kasih
Tika Aprillia Hendrawati,5.0,"laptop lengkap, ramah dan infomatif 👍🏻",a month ago,0,Netral,Positif,laptop lengkap ramah infomatif
zinggih eko tianto,5.0,Lengkap banyak pilihan laptop dari spek standar hingga gaming.,9 months ago,0,Netral,Positif,lengkap pilih laptop spek standar gaming
Rifqi Fardani,5.0,"Service mantap, worth it all barang mantap",11 months ago,0,Positif,Positif,service mantap worth it all barang mantap
Oden To,5.0,"tempatnya bagus, ada garansi toko juga",10 months ago,0,Netral,Positif,tempat bagus garansi toko
Veisya,5.0,pelayanannya ramah dan laptopnya good quality + harganya terjangkau,6 months ago,0,Positif,Positif,layan ramah laptop good quality harga jangkau
Anang Adi,5.0,"Tempat nyaman, pelayanan bagus, tanya macem-macem jawabnya macem-macem
👍👍",3 months ago,0,Netral,Positif,nyaman layan bagus macemmacem macemmacem
Mas Ruro,5.0,Recoment bagi yg cari laptop tempat nyaman service ramah,6 months ago,0,Netral,Positif,recoment yg cari laptop nyaman service ramah
bintang setiawan,5.0,"Banyak pilihan, harganya juga terjangkau mantaabbb pokoknyaa",8 months ago,0,Netral,Positif,pilih harga jangkau mantaabbb pokoknyaa
Bayu Trsl,5.0,"Pelayanan memuaskan
Laptop laptop disini walaupun bekas masih seperti baru, jangan ragu kalau beli laptop disini🫵🏻",8 months ago,0,Netral,Positif,layan muas laptop laptop bekas ragu beli laptop
Juan Kotten,5.0,"Pelayanan ramah, barang nya masih mulus sangat direkomendasikan",2 years ago,0,Netral,Positif,layan ramah barang nya mulus rekomendasi
yuni apriyanti,5.0,"Tempat yang rekomended untuk beli laptop bekas, mantap pokoknya 👍🏻",2 years ago,0,Netral,Positif,rekomended beli laptop bekas mantap pokok
Intan varameidita,5.0,"Pelayanan terbaik, recommended bgt deh",4 months ago,0,Netral,Positif,layan baik recommended bgt deh
Mktfuln Nh (Punya tongtong),5.0,"Laptop yang ditawarkan bagus"" dan keluaran baru. Banyak laptop yang direkomendasikan dan tidak ada minus dari laptop yang ditawarkan",9 months ago,0,Netral,Positif,laptop tawar bagus keluar laptop rekomendasi minus laptop tawar
rina andriyani,5.0,"Banyak pilihan, pelayanan ramah, mantap harga terjangkau, kealitas terbaik",6 months ago,0,Netral,Positif,pilih layan ramah mantap harga jangkau kealitas baik
fira nurma,5.0,"Pelayanan ramah, tempat mudah ditemukan dan bersih. Barang masih baru². Recomend",8 months ago,0,Netral,Positif,layan ramah mudah temu bersih barang recomend
Filhafirah Pratiwi,5.0,pokoknya recomended beli laptop second disinii🤩,5 months ago,0,Netral,Positif,pokok recomended beli laptop second sini
Dimas Suranto,5.0,"Beli laptop seken di Hero computer sangat memuaskan, dengan tempat yang nyaman dan pelayanannya yang memuaskan",a year ago,0,Netral,Positif,beli laptop ken hero computer muas nyaman layan muas
Andaru Elok Sekar Artsanti,5.0,"baguss, masnya sangat informatif dan ramah👍🏻👍🏻👍🏻",2 months ago,0,Netral,Positif,baguss mas informatif ramah
Ibnu Abdul aziz,5.0,"Pelayanannya baik, mas2 nya ramah, pokoknya sangat rekomen untuk jual/beli laptop disini",8 months ago,0,Netral,Positif,layan mas nya ramah pokok rekomen jualbeli laptop
Muhammad Nurizal,5.0,"produk bagus kondisi bner bner masih bagus mantap, pelayanan ramah, chat fastrespon lokasi nyaman",3 years ago,0,Netral,Positif,produk bagus kondisi bner bner bagus mantap layan ramah chat fastrespon lokasi nyaman
Agastya Abhipraya Erlangga,5.0,"pelayanan bagus, dikasih diskon tambahan",10 months ago,0,Netral,Positif,layan bagus kasih diskon tambah
kumitir anggapratama,5.0,Pelayanan yang ramah dan barang berkualitas,2 months ago,0,Netral,Positif,layan ramah barang kualitas
Rizki Sisthannisa,5.0,Pelayanan oke dan jelas,6 months ago,0,Netral,Positif,layan oke
Didik Andy Irawan,5.0,Mantap pelayanan ramah.. laptopnya pun masih kondisi likenew..👍,2 years ago,0,Netral,Positif,mantap layan ramah laptop kondisi likenew
Muhammad Fauzi Akbar,5.0,"Mantap, pelayanan bagus dan cepat",8 months ago,0,Netral,Positif,mantap layan bagus cepat
Hikmal Mahdi,5.0,"Pelayanannya bagus dan ramah, barang juga sesuai",6 months ago,0,Netral,Positif,layan bagus ramah barang sesuai
Aji Khotibul,5.0,"Beli laptop di Hero Computer sangat rekomended. Banyak pilihannya dan sellernya ramah dan baik betul.

Sukses selalu Hero Computer",3 years ago,0,Netral,Positif,beli laptop hero computer rekomended pilih sellernya ramah sukses hero computer
Alegra,5.0,Pelayanan baik terbuka konsultasi via chat atau kunjungan di storenya langsung. Produk laptop bervariasi dan garansi panjang,8 months ago,0,Netral,Positif,layan buka konsultasi via chat kunjung storenya langsung produk laptop variasi garansi
Aldho Efbinawan Sa'adillah,5.0,"Tempat jual beli laptop second generasi baru, penjualnya ramah.",a year ago,0,Netral,Positif,jual beli laptop second generasi jual ramah
Salsabela Afra Ramadhani,5.0,"mantap laptopnya like new sekali, dilayani sangat ramah. semoga awet laptopnya. sukses terus🌸🙏🏻",8 months ago,0,Positif,Positif,mantap laptop like new layan ramah moga awet laptop sukses
muhamad fauzi darmawan,5.0,"Tempat jual laptop second recommended di Jogja, laptop di cek dulu kondisinya 👍
Recommended untuk yg sedang cari laptop second",6 months ago,0,Netral,Positif,jual laptop second recommended jogja laptop cek kondisi recommended yg cari laptop second
Rifgi Wahyu Surya Pratama,5.0,"Untukk pelayanan sangat bagus sekali disinii, yang tidak mengerti laptop atauu yang sama sekali tauu pastii diarahkan atau direkomendasikan sesuai budget yang kitaa punyaaa:)",a year ago,0,Positif,Positif,untukk layan bagus sini erti laptop atauu tauu pasti arah rekomendasi sesuai budget kitaa punyaaa
Muhamad Bimo,5.0,Yang tbtb cari laptop.,3 months ago,0,Netral,Positif,tbtb cari laptop
Immawan Wahyudin,5.0,"Pelayanan terbaik, laptop second berkualitas",5 months ago,0,Netral,Positif,layan baik laptop second kualitas
Satya Rhey,5.0,Tempat ny Bagus 👍,a month ago,0,Netral,Positif,ny bagus
Khairiyah,5.0,Pelayanan ramah unitnya bagus dan terjaga,4 months ago,0,Netral,Positif,layan ramah unit bagus jaga
story of Dec,5.0,"tempatnya bersih, pelayanan ramah, rekomen buat yang cari laptop second",3 years ago,0,Netral,Positif,tempat bersih layan ramah rekomen cari laptop second
03_ Chevy Wistan Kalandra C.,5.0,"mantap, tokonya nyaman buat beli laptop second, pilihan banyak dan masih bagus bagus. gacor",9 months ago,0,Netral,Positif,mantap toko nyaman beli laptop second pilih bagus bagus gacor
heri wahyuningsih,5.0,Laptopnya bagus bagus dan recomended buat yang mau cari cari laptop di Jogja,10 months ago,0,Netral,Positif,laptop bagus bagus recomended cari cari laptop jogja
rangga bayu,5.0,Tak kasih info bosku yang mau cari laptop bekas di jogja langsung saja ke hero computer tempat nya recomended bangett,2 years ago,0,Netral,Positif,kasih info bos cari laptop bekas jogja langsung hero computer nya recomended bangett
Yasmine Shazia Azzaria K,5.0,Pelayananya ramah dan kondisi laptop masih sangat bagus,6 months ago,0,Netral,Positif,pelayananya ramah kondisi laptop bagus
Hafid Afi,5.0,Mantap barang bagus,2 months ago,0,Netral,Positif,mantap barang bagus
muchsin muzafar,5.0,"Tempat bagus nyaman, pelayanan oke.",4 months ago,0,Netral,Positif,bagus nyaman layan oke
Fey L,5.0,"Servisnya bagus, dapet diskon jg",4 months ago,0,Netral,Positif,servis bagus dapet diskon jg
Muhammad Huda,5.0,"Pelayanan ramah, cepat, yang pasti ada diskonnya 💯💯💯 pokoknya rekomended buat yang mau cari laptop gaming atau tukar tambah disini. Sukses dan jaya selalu",a year ago,0,Netral,Positif,layan ramah cepat diskon pokok rekomended cari laptop gaming tukar sukses jaya
Muhammad Ridwan,5.0,"Tempatnya bersih,pelayanan informatif harga relatif terjangkau",2 years ago,0,Netral,Positif,tempat bersihpelayanan informatif harga relatif jangkau
bsi eka,5.0,👍👍👍👍👍,a month ago,0,Netral,Positif,
Taqitaqi,5.0,"Pelayanan sangat baik, barang juga masih sangat baik baik",2 months ago,0,Netral,Positif,layan barang
Ria Dini Andita,5.0,"Rekomend banget buat cari laptop, Insyaallah bagus unitnya 👍",6 months ago,0,Netral,Positif,rekomend banget cari laptop insyaallah bagus unit
Bagus Alif,5.0,"jual beli laptop yogyakarta dan sekitarnya, barang bagus harga terjangkau",a year ago,0,Netral,Positif,jual beli laptop yogyakarta barang bagus harga jangkau
Alfathan Nur,5.0,"kesini beli laptop asus pelayanan ramah, dijelaskan sampai detai dan ada diskonnnn",7 months ago,0,Netral,Positif,kesini beli laptop asus layan ramah detai diskonnnn
Khoirunnisaa Amalia,5.0,"Laptop berkualitas dengan harga terbaik, insyaAllah amanah 👍",5 months ago,0,Netral,Positif,laptop kualitas harga baik insyaallah amanah
Nauval M habib,5.0,"alhamdulillah, dapat rejeki tiba tiba beli laptop",2 months ago,0,Netral,Positif,alhamdulillah rejeki beli laptop
El Sinorita,5.0,"Pelayanannya ramah, penjelasannya lengkap",3 months ago,0,Netral,Positif,layan ramah jelas lengkap
