nama_penulis,rating,teks_ulasan,waktu
Diah Nopitasari,4,"kaya mirota pada umumnya sih, oke",2 tahun lalu
Giacinta Risti,5,"Lengkap, harga murah",2 tahun lalu
iis nazara,5,Tempat belanja bulanan yg murah dan cukup lengkap,2 tahun lalu
Nurvita Eka,4,"Selalu jadi tempat tujuan belanja bulanan.
Tiap akhir pekan dan di tanggal-tanggal gajian selalu ramai pembeli dan antri panjang saat dikasir.

Bila tak ingin antri panjang hindari waktu waktu itu",2 tahun lalu
Yohana Nugraheni,5,Murah lengkap,2 tahun lalu
melisa indah puspita,5,"Lengkap, murah",2 tahun lalu
Puteri S P,5,Belanja dan njajan. Murah2 semua.,2 tahun lalu
Nindya Ollshop,5,Semakin sukses ya.,Diedit 2 tahun lalu
Rani Setya,5,Tempat belanja terfavorite warga jogja,2 tahun lalu
Ranilia Ovi Santi,5,Tempat belanja puas,2 tahun lalu
Ari Janu,5,Selalu jadi tujuan belanja kebutuhan sehari2. Mantappp,2 tahun lalu
Ridwan Alaziz,5,Makin komplit,2 tahun lalu
lukas mario,5,Mantaaappp,2 tahun lalu
Tokito Moichiro,5,"Lengkap, ekonomis, strategis.
Bisa dapet rumah",2 tahun lalu
Aziz Nugroho,4,Tempat blanja setiap bulan,2 tahun lalu
Abu Abdulloh Al Banjary,5,"Masyaa Alloh tabarokalloh..
Alhamdulillah, Beberapa kali bolak balik kesini, Salah satu tempat favorit kami dan keluarga untuk belanja kebutuhan sehari-hari, dengan harga murah, cukup banyak promo, barang cukup lengkap, dan tertata Rapi, moga makin sukses Mirota Kampus palagan.",2 tahun lalu
Muhammad Badru Tamam,5,Murah,Diedit 2 tahun lalu
Deany Januarta Putra,5,"Tempat favorit belanja kebutuhan rumah tangga bulanan, ngga hanya karena deket cuma 20 meter dari rumah, tapi harganya itu yang buat ngga bosen dateng terus. Muraaaahhhh ",2 tahun lalu
Yani Steh,5,"Langganan belanja bulanan.

Di lantai 1 ada Jajajan, keperluan dapur, sayur, telur, buah, perlengkapan masak (piring, gelas, teflon, ciri muthu, dll), perlengkapan mandi, obat2an jugak.

Lantai 2 ada pakaian, perlenglapan makeup, alat tulis, dll.",2 tahun lalu
Anisah Fitri,5,The cheapest supermarket in town.,2 tahun lalu
UUT NGAWI,5,"Gak usah di ragukan lah mirota asikk semuaaa harga paling murahh, parkir cuman seribu, saking ramenya antrinya kasir lumayan,sabarrr..",2 tahun lalu
Wahyuni Dewanti,5,"lengkap dan display rapi ,mudah mencari yg di mau ,nyaman",Diedit 2 tahun lalu
Nur Kholis KISS,5,"Lokasi strategis, mudah dijangkau, dan tempat cukup nyaman. Di sini menyediakan berbagai keperluan rumah tangga, sembako, elektronik tertentu juga fashion. Untuk harga relatif murah dibanding supermarket di kelasnya.",2 tahun lalu
Subrata yankum,5,Komplit,2 tahun lalu
Nurul Hs,3,"Mba spg maupun kasir jangan jutek2 sm pembeli.. Ya ampun sy kapok ga mau blanja ke mirota yg ini.. Walaupun dia memang murah, mending ke progo aja sama2 sejalan.. Mestinya klo jutek judes jgn kerja kaya gini, jd satpam aj cocoknya",2 tahun lalu
Ahmad Dimyati,4,Parkiran kurang memadahi,2 tahun lalu
Verdy Fajrian,5,"Untuk belanja bulanan cukup rekomendasi, dibandingbkalau harus ketempat sebelah yang grosir grosir itu.",2 tahun lalu
Heru Santoso,5,Tempat belanja kebutuhan pokok keluarga yang lengkap murah berkualitas dengan pelayanan yang prima...pokoknya puas belanja disini,Diedit 2 tahun lalu
Mei Darlina,5,"Banyak promo yang tersedia, kasirnya ramah.",2 tahun lalu
Agung Ramadhany,5,Lengkap semua barangnya. Terdapat dua lantai. Dan banyak diskon juga,2 tahun lalu
Suswidy Widy,5,"Kebutuhan bulanan semua tersedia disini, one stop shop, harga lebih murah dibanding toko lain",2 tahun lalu
Mifta Alfadlia,5,"Tempat belanja favorit. Barang lengkap, banyak promo, semua adaaaa",2 tahun lalu
sinta dewi,4,Tempat terlengkap belanja kebutuhan anda dengan banyak promo turun harga discount yg tersedia..,2 tahun lalu
lengko no,4,"Brg2nya lumayan lengkap,hrg murah,cuman sayangnya tmp kasirnya sempit ,kasir sedikit,sampe ngantri panjang,diatas lt 2 ,tmp kasir cuman 1 ,over all oke ,pelayanan dan fasilitas ditingkatkan biar pengunjung nyaman.",2 tahun lalu
herfin setyowati,5,"Belanja murah dan lengkap,sembako,sayuran,sabun,alat dapur,peralatan bayi,baju,pokony lengkap deh.saya pribadi selalu ke sini di atas tanggal 10.karena klo di atas tggl 25 s.d tggl 10 itu selalu ruameee puuolll",2 tahun lalu
Yuni Ambarwati,3,"Strategis karena di pinggir jalan raya, pelayanan bagus perlu ditambah area parkir agar lebih nyaman",2 tahun lalu
priya yulianto,5,"Namanya ada kata ""Kampus"", tapi mayoritas Ndak ada mahasiswanya apalagi ruang kuliah.
Lebih banyak Ibu2...

Hati2 jangan tertipu!!",2 tahun lalu
Lusyana,2,"Sebetulnya t4 langganan belanja bulanan cm agak kecewa ketika mau konfirmasi barang yg tertinggal karena lupa ambil di counter obat.ingat pas akan packing. Secara struk sdh terbuang dan masih suruh nyari lg  intinya barang yg sdh terbeli tdk bs diambil lg dan harus diiklaskan kecuali mau nyari struk di TPS,ga bs bantu di carikan lwt member aj gt?.lain kali klo mo beli obat mnding ke apotik aj.kapok buat emak pelupa ky aku",2 tahun lalu
Fhili Paramitha,5,Langganan belanja bulanan.,2 tahun lalu
Rahma Isna Saidah,4,"Harga terjangkau dibandingkan dengan harga di supermarket besar. Pelayanan kasir juga cepat, sehingga meski antrian panjang, tapi tidak perlu menunggu lama untuk mendapatkan giliran.",2 tahun lalu
erry nugroho,5,Asik belanja disini!!,2 tahun lalu
Amalia Nisa Latifah,5,"Lengkap, nggak serame mirota kampus jadi lebih milih disini kalo belanja heheheh",2 tahun lalu
Denny Krisnawan,5,"One of the super market in Sleman area, the right place looking for the house hold, and  available dress, shoes, stationary, etc. At the weekend, there is usually quite a lot of visitors. The location is strategic because on the center of Sleman city. There are available a large parking area.",2 tahun lalu
Dewi Puji Lestari,2,"Kasir nya lambat dan banyak yang off , udah antrian panjang, beli dua jenis barang aja antri ke kasir nya 1,5 jam, parah banget, harus nya di kasir ada 2 orang yang satu bantuin packing2",2 tahun lalu
Rumah sapu Jogja,5,"Baru pertama belanja di mekam palagan karena mekam godean full ga da tempat parkir.

Saya kira tidak ada tempat parkir mobil ternyata ada lahan sendiri. Sudah langganan kalo belanja bulanan pasti ke mekam karena lengkap dan harganya relatif murah.",2 tahun lalu
Ernawati R,5,"Salah satu tempat favorit untuk berbelanja, sering ada banyak diskon, beberapa jenis sayuran diskon juga setelah jam 5 sore.",2 tahun lalu
Bimantoro Setio Nugroho,5,"Mirota menjadi salah satu tempat belanja yang recommended selain banyak diskon, di sini tersedia keperluan pribadi dan dapur. Tersedia sayuran, buah, dan bahan makanan lainnya. Letaknya di lantai satu. Sementara untuk pakaian dan lain lain letaknya di lantai dua. Lokasi ada di barat jalan palagan.",Diedit 2 tahun lalu
Piawai Prabuadi,5,Lebih dekat sama kos,2 tahun lalu
Alfira Yuandari,5,"Super lengkap, super murah, dan dekat rumah",2 tahun lalu
Maulina lina,5,Menyenangkan,2 tahun lalu
Purwati wati,5,Tukang parkirnya ramah ,2 tahun lalu
indra mutiara,5,"Tempat belanja, dekat rmh kontrakanku",2 tahun lalu
Elkana Susanto,5,"Ruangan nya terang...
Display nya bagus...
Harga dibawah tempat lain...
Pelayanan bagus...",2 tahun lalu
Discaz Jogja,4,Not Bad,2 tahun lalu
Berliana Indrawati,5,"Tempat belanja kebutuhan andalan, cukup lengkap dan terjangkau ",2 tahun lalu
Si kepik Merah,5,Toko andalan. Belanja terus buat dapat jam dinding,2 tahun lalu
Gita 123,5,Nyaman berbelanja dan harga terjangkau,2 tahun lalu
Anistiya Azizah,5,Harganya selalu lebih murah dari swalayan sebelah,2 tahun lalu
Retno Aji Santoso,5,Tempat beli kebutuhan sehari2,2 tahun lalu
137_Silvana,3,Kasirnya gak ramah dan gak murah senyum takut jadinya. Terus pengemasan kurang bagus pula telor saya pecah. Hayo lah masak telor di Tarok di tengah tengah. Terus juga gak di pisah pisah haduh males deh.,2 tahun lalu
Khansa Huda,5,Cukup lengkap ,2 tahun lalu
Putri Pangestika,5,"Sangat lengkap, mulai dari kebutuhan sehari-hari sampai kebutuhan sekunder seperti pakaian dll. Harga lebih murah dibandingkan dengan beberapa toko lainnya. (tidak semua, tapi kebanyakan). Parkir motor cuma 1.000 wkw biasanya di tempat lain bisa 2.000",2 tahun lalu
Kang Lutfi,4,Supermarket with plenty choice of item and reasonable price.,2 tahun lalu
Herfin Setyo,5,Belanja murah dan lengkap.pasti selalu rame antara tggl 25-10 tiap bulannya,2 tahun lalu
Ana Arjuna,5,"Lengkap,harga terjangkau,pelayan yg ramah,stok barang banyak...",2 tahun lalu
Dimas Adianto,4,"Supermarket yg harganya relatif lebih murah, tapi tidak terlalu lengkap,
Kasir kurang banyak sehingga antrian panjang.
Parkiran juga terbatas.",2 tahun lalu
Arya the explorer,5,"murah dan lengkap untuk mencari kebutuhan sehari2.. kompliiitt. Semuanya ada. Kasirnya sudah banyak walopun antri panjang tapi bisa teratasi dengan baik. Disini sudah menerapkan ramah lingkungan jadi walopun tersedia plastik belanja , alangkah baiknya jika kita membawa tas belanja sendiri untuk mengurangi limbah plastik  Parkir mudah dan murah. Mantappp.",Diedit 2 tahun lalu
Jeny Dyrli,5,Wow mantap,2 tahun lalu
Damar Suryo Sasono,5,"Tempat belanja favorit saya dan keluarga
Kalau ajak anak saya, suka sekali beli pukis di bagian depan Mirota kampus",2 tahun lalu
yunias hend,5,"nice place
happy shopping
great price.....",2 tahun lalu
Pasca Fatwa Sukmawati,5,"Koleksi bajunya bagus2, segala printilan ada. Harga terjangkau.",2 tahun lalu
Zola WRD,1,"Sekarang tukang parkirnya kayak PREMAN begok, suka teriak teriak kasar gk jelas terutama sama orang yg parkir buat ke ATM, tolong rekrut tukang parkir yang profesional jangan yang model gk berpendidikan kayak gini!",2 tahun lalu
Adik Ponda,5,"Lengkap, ramah",2 tahun lalu
Kusuma Astuti Tutik,5,"Harga lebih murah dari toko yg lain ,lengkap ,pelayanan ramah dan cepat",2 tahun lalu
Nasrul Hidayat,5,Harga yang ramah dikantong mahasiswa,2 tahun lalu
evi sutrisno,5,"This is a good and nice shop. The store has a complete stuff to offer. The price is good. But, its parking lot is always full & difficult to park your motorcycle here.",2 tahun lalu
Puji cahyo murti,4,Recommended,2 tahun lalu
ANGKRINGAN NDOLLOE,5,Good,2 tahun lalu
Syaiful Haq,5,Belanja kebutuhan sehari-hari dengan harga yg murah. Terdapat banyak pilihan pembayaran dr cash hingga qris,2 tahun lalu
Dani Pradana,5,"Sudah pasti harga murah banyak diskon
Untuk belanja bulanan sangat recomend",2 tahun lalu
Kun Q,5,Belanja murah ya disini,2 tahun lalu
jaya supriadi,5,Selalu balik lagi setiap pertengahan bulan. Kalau awal bulan selalu ramai.,2 tahun lalu
KEL ADI,5,"Lengkap, murah, perkiraan luas",2 tahun lalu
guntur pratama putra,5,Lengkap dan murah,2 tahun lalu
Anis Yulianti,5,Belanja ritel murah.... Tempat belanja kebutuhan terfavorit,2 tahun lalu
Genius Antariksa,5,"Semua rekan kerja baik,ramah, sabar ",2 tahun lalu
Lia Nur Kartika,4,Everybody in this town know what is mirota lampus,2 tahun lalu
Nafisah Alfi Syarifah,5,"Lengkap banget pokoknya, dari semua barang ada harganya murah murah banget cocok untuk belanja bulanan anak kost .. Tempatnya juga bersih banget",2 tahun lalu
Wildan GZ,5,"Salah satu tempat andalan untuk berbelanja. Lengkap meski tokonya termasuk yang kecil dibanding cabang-cabang lainnya. Parkir mobilnya juga terpisah dari bangunan toko utama, jadi mungkin agak repot kalo pas hujan. Tapi tukang parkirnya ramah sekali ",2 tahun lalu
Dede,3,"Tempat mudah ditemukan karena terletak di tepi jalan raya Palagan. Harga yang bersaing, parkir motor gampang ketika ramai...parkir mobil sekarang pindah ke samping.",Diedit 2 tahun lalu
nanang winarso,4,"Tanggal muda, hari jumat.. Dahh antrinya mantab..",2 tahun lalu
Ferry Ligias,3,Stock nya ndak komplit,2 tahun lalu
Hutwah,5,"Barangnya lengkap dan murah dibanding toko sebelah, hanya kurang bahan makanan basah, seperti ikan, daging, udang, ramai antrian kasir",2 tahun lalu
Meikha ArSha,5,"Belanja di MK palagan menyenangkan mulai dari tukang parkir mau menata dan mengambilkan kendaraan kita
Satpam, SPG2 dan kasir yang ramah...
Barangnya lengkap dan banyak diskon",2 tahun lalu
Tegar Hana,5,"Lumayan, tp entah knp Sy lebih merasa komplit di mirota simanjuntak",2 tahun lalu
Ikrar Persada B. Tjaru,4,Cabang lain manna kampus.. Cukuplengkap.. 2 lantai.. Tempat luas.. Parkir mobil agak sulit,2 tahun lalu
Rahmad Juniyanto,4,"kurang lengkap, tapi lumyan lah,",2 tahun lalu
maulana pradika,5,Promo dan murah,2 tahun lalu
Anindya S Prasidya,5,"Jual keperluan keluarga dari makanan, baju, sepatu/ sandal, perabot rumah tangga, keperluan anak2, dll. Kalau jumat selalu rame. Parkiran mobil kini udah ada khsusus di bagian selatannya.",2 tahun lalu
Chandra Eka Prakarsa,5,Recommended,2 tahun lalu
Sumiyati Yati,5,Ok,2 tahun lalu
Elisya metha wahyuningsih,5,"Produk2nya lengkap, Ada counter obat2an, Ada pakaian juga di lantai 2. Harga termasuk murah dibanding supermarket lain. Tapi jangan cari rokok ya.. karena Di sini tidak menjual rokok ",2 tahun lalu
Etika Surya R,5,Belanja bulanan selalu disini. Selain lengkap juga murah-murah poll. Udah gt banyak promonya ,2 tahun lalu
Nurulia Sinta Dewi,5,Tempat belanja bulanan paling komplit,2 tahun lalu
Ayuni Fitria,5,"Tempat belanja yang lengkap, nyaman, dan terpercaya ",2 tahun lalu
andri nasution,5,Bagus,2 tahun lalu
tidak diketahui,4,bisa ga sih kasir nya tu ditambahin terutama lantai 2. blanja ga seberapa ngantri nya MasyaAllah kek nunggu jodoh ,2 tahun lalu
Rama Tridadi,1,"pelayannya cuek bgt, satpam juga songong amat",2 tahun lalu
Sudarsono,5,Belanja kebutuhan rumah tangga tersedia di sini,2 tahun lalu
Robertus Gunarto,5,"Lengkap, pengundian hadiah 3wulan simple tinggal pakai KTP atau kartu member",2 tahun lalu
TARGET X,1,"buruk, dari awal masuk dah dicuekin sama satpam ngobrol sendiri, masa keranjang ga di pisah, keranjang susah diangkat didiemin.
terus ga menyediakan pelayanan lebih untuk yang ga bawa masker, malah suruh antri beli masker.
padahal saya cuman mau beli detergen, malah suruh antri beli masker dulu.
keputusan nya kurang bijak.",2 tahun lalu
Samsul _paifjogja,5,"Lengkap dan bersahabat ...
Sudah ada musholla belum ya? Saat ramai2nya ngantri jam 17.45 sampe jam 18.50 khawatir telat sholat maghrib ...",2 tahun lalu
Brian Febrian,1,"kasirnya tiba2 suka tutup, suka banyak orang pindah2 ke depan ke orang yg udah deket kasir tpi kasir sama sekali tidak ada reaksi,saran aja seharunya kasir bilangin ganoleh kaya gtu,barusan depanku orang hamil sampe nunggu lebih lama gara2 ada 2orang gajelas. aku sendiri pilih kasir yg pling sedikit eh giliran udh deket tiba2 ada orang dtng bawa belanjaan bnyk ke depan gajelas. mohon ditindak lanjutiii",2 tahun lalu
Gede Bagoes,5,"murah dan lengkap, parkir rapi",2 tahun lalu
rismawakhi,5,"Menyediakan segala kebutuhan rumah tangga, lengkap, lumayan ramai di jam-jam tertentu. Bersih, bapak parkirnya ramah. Untuk mobil lahan terbatas.",3 tahun lalu
m. ltfh,4,"Selalu ramai, perlu siapkan waktu lebih longgar dan dada yg lebih lapang untuk siap mengantre. Antre di kasir bisa setengah jam sendiri, lebih lama daripada belanjanya. Meski begitu, ga semua kasir dibuka utk melayani di waktu2 tertentu. Sebagai konsumen, kami berharap pelayanan ditingkatkan utk kami konsumen lebih menghemat waktu dan fasilitas lebih dpat dimanfaatkan secara efektif dan efisien.

Untuk kelengkapan memang lumayan. Sekarang barang pecah belah dan plastik perabotan makin bervariasi. Printilan kecil-kecil alat pembantu utk hal tertentu macam pembuka botol, dll ada.

Harga bersaing. Kadang ada diskon atau promo yang lumayan miring untuk beberapa produk.

Untuk parkiran, sekarang sudah diperluas dengan lahan di samping selatan. Tapi perlu effort lumayan utk jalan kalau keadadaan sedang ujan deras.",Diedit 3 tahun lalu
Dias Widia,5,Hrga lbih hemat untuk blanja bulanan,3 tahun lalu
im comby,3,"Saya beli alat listrik di MK5 ( godean) ternyata kurang berfungsi baik,  klo saya tukar di MK4 ( Palagan/ 1 manajemen) sini bisa tidak, pertimbangan MK5 terlalu jauh dr rumah ( jakal) , terima kasih.",3 tahun lalu
Septi Ningsih,5,Setiap bulan belanja di manna kampus,3 tahun lalu
Hanin Homestay Jogja,5,Jaminan murah di mirota,3 tahun lalu
Lawu Arie,5,Parkir mobil 30 meter sebelah selatannya.,3 tahun lalu
Ahmad Zakiya,5,Hindari awal bulan di akhir pekan. Antrean kasir mengular.,3 tahun lalu
Titi Mahfita,5,Seperti mirota pada umumnya,3 tahun lalu
Umikay,4,Untuk keperluan belanja bulanan lengkap,3 tahun lalu
endah prasetiyowati,4,"Parkir luas,pelayanan baik,barang komplit,tempat bersih",3 tahun lalu
Ahmad Dzakirin,5,One of branches local supermarket with various products and perfectly suitable with student budget,3 tahun lalu
Muhammad hafizh,4,"Pelayanan baik
Parkir luas
Komplit
Mudah dijangkau
Harga standart",3 tahun lalu
Astuti Damayanti,5,Tempat belanja super murah dan lengkap,3 tahun lalu
Salma Azizah,5,Affordable price & nice place to shop ,3 tahun lalu
chaya wirayatno,5,"Barang2nya sangat lengkap, tidak hanya sembako tapi juga menjual aneka peralatan dapur, sampi fashion pakaian tas, ATK, mainan anak, hingga bakery dan obat2an.",3 tahun lalu
Nurcahyanta Eka,5,Komplit dan lengkap,3 tahun lalu
Sukmana Suci W,5,Pelayanan baik,3 tahun lalu
Nurul Arifin,5,Bersih komplit,3 tahun lalu
Anggi Melani,5,Tambah lagi dong kassa nya,3 tahun lalu
Yuli Pratomo,4,Tempat bersih nyaman. Pelayanan bagus,3 tahun lalu
nira listya,5,Tempatnya lumayan bersih nyaman untjk berbelanja kebutuhan sehari - hari dan cukup lebgkap.,3 tahun lalu
ejsp,4,affordable,3 tahun lalu
Marketing Blenk,2,"Barang murah dan lengkap
Sayang pelayan agak lama kala ambil banyak...
Disini jual air minum Li mineral paling murah se yogya trsu beli 10 galon
Cuman sangat di sayang dedepan masih banyak ada 20 galon
Kenapa gak diambil drop kenmobil..
Harus diambil dari belakang yg jauh dan lam. 15menitan tunggu (katanya stepnya)
Maka saya posting mana tau pihak mirota memnaca untuk memperbaikinya)
Hatus yg depan dropkan ke mobil
Trus baru ambil gudang isi yg depan
(Logikanya buat pelayanan konsumen)
Masalah ke dua satpam cuman pasif saja..bediri tegak lurus jagain thermometer
(Kl pengalamanku di mana satpam biasa bantuin custumer bantu2 kl ada yg butuh..itu setauku)",3 tahun lalu
Bayu Adi,3,"Di rush hour ada beberapa kasir yg off, jadi antrian membludak . Belanja 6 menit antri 20menitan. Ampun Dj....",3 tahun lalu
jojo trigger,5,"Lengkap, pelayanan oke",3 tahun lalu
Gempyor-12 // THYK - K.I.S,1,"Tidak rekomendasi untuk Grab Mart , karena menunggu lama dan respon suangat luambat ..",3 tahun lalu
Ongky Windarto,5,"Mirota Kampus Palagan tempat belanja Paling Lengkap
Flazz BCA Mirota Kampus bagus banget
Untuk Bayar belanjaan ku
Terimakasih",3 tahun lalu
Ajeng Renita,3,Maaf mau tanya apakah di Mirota kampus ada tempat untuk membuat kunci ya?,3 tahun lalu
Aris Wibowo,5,Tempat belanja kebutuhan baik harian maupun bulanan yang affordable buat anak kost khususnya,3 tahun lalu
Am project,5,Lengkap banget harga terjangkau,3 tahun lalu
Natalia Candra Putri,1,"Pelayanannya pada bagian kasir buruk banget. Sama kstumer ga ada ramah2nya, udah bener2 antri dibilang nyrobot antrian. Mbak2 pake alis tebel! ",3 tahun lalu
Rizky Adityawarman,1,"Klo jam stengah 9 kurang ga boleh masuk, tolong diganti jam oprasionalnya, saya cuma perlu 1 barang ( ofc ga makan waktu sampai 5menit pembayarannya dikasir ), bahkan ga ada toleransi jadi bukan jam 21.00 closed tapi jam 20.00 trakhir boleh masuk  - 20.30 closed ",Diedit 3 tahun lalu
Mr. Traveller Djogdja,5,"Tempat belanja idola emak-emak area Sleman.
Katanya sih harga paling murah, sampai rela antri panjang di kasir...",3 tahun lalu
Bagas Saputra13,2,"Sangat lama saat antri pembayaran, mungkin karna saat itu ada pegawai(temannya) yang antri di kasir tsb jadi agak lama, next harusnya ada pembatasan waktu dalam pelayanan",3 tahun lalu
kauthaitea yogya,3,"Parkir mobil terbatas, sempit.",3 tahun lalu
Desi Citra Dewi,5,"Tempat belanjaaaa favoritoooo...
Banyak promonya, yg di palagan ini ada 2 lantai di lantai 2 isinya pakaian, alat tulis dan banyak lagiii...
Pelayanan nya juga okeeeeee",3 tahun lalu
Zack Arch,5,"Recommended. Pelayanannya ramah. Suka ada diskon dan produk yang tersedia pun sudah semakin beragam, terutama di bagian perabot and alat elektroniknya (yang paling kentara menurutku). Sekian. Mampir aja, nilai sendiri.",Diedit 3 tahun lalu
nescy frans,3,"pelayanan bagian luar (penitipan barang) tidak ramah. Bagian informasi bagus.
mungkin kurang ramah karena merasa pelanggan yang butuh ",3 tahun lalu
Muanisya Sanjaya,4,Lumayan lengkap tapi perlu dilengkapi lagi. Kadang ada barang yang lama kosong tidak segera direstok. Harganya juga perlu banyak diskon dong,3 tahun lalu
chaliq w purnomo,1,"Antrian penuh kaya gini, ac cuma buat hiasan doang, ngga ada yg dinyalakan. Sumuk sumpek",3 tahun lalu
Surati Ningsih,1,"Pelayanan kurang baik,agak kecewa",3 tahun lalu
Ahmad Fanani,4,"Cukup lengkap, tempat nyaman, mudah dj jangkau",3 tahun lalu
Onime fathonioni adhi,4,"Great grocery store... Have Happy hours & black Friday discount.
2 storeys building.
Lantai satu untuk swalayan.
Lantai dua untuk peralatan sehari- hari & stationary.
Parkiran motor luas. Parkiran mobil terpisah di selatan gedung.
Ada ATM center. Harga murah grosir.",Diedit 3 tahun lalu
Ardhani can,1,Nota belanja salah . Beli 1pcs diitung 2pcs . Nggak bisa dikomplen . Nggak ada solusi . Rugi ,3 tahun lalu
Anna Fitara,2,"Sore ini sy abis belanja di mirota kampus palagan, tapi pelayanan sangat mengecewakan dr kasirnya. kita sbg customer disitu beli ya bukan minta tp pelayanan sgt sgt tdk ramah. td sy dikasiri atas nama resna noviana. mohon untuk selalu ramah kepd pelanggan",3 tahun lalu
Afanin Gita,5,"bersih, murce",Diedit 3 tahun lalu
aisteamanis,5,"Tempat favorite buat belanja waktu di jogja, harganya murah murah dan lengkap",3 tahun lalu
Djojos Soer,5,Cukup lengkap untuk memenuhi kebutuhan harian anda,3 tahun lalu
Akhmad Sudrajat,5,Tempat  belanja favorit istri saya ,3 tahun lalu
Linda Chang,5,"Tempat belanja favorit.
Harga relatif murah, layanan baik. Termasuk bagian dari layanan, bungkus kado gratis di lantai 2.

Bagi yang belum punya sertifikat vaksin covid tetap bisa berbelanja di sini, asalkan tetap menjaga prokes dan cek suhu tubuh.

Satu hal yang saya keluhkan, kalau membeli barang di counter obat, hanya diberi nota, lalu bayar dulu ke kasir baru ngambil lagi barang yang dibeli di counter obat. Pernah belanja malam2 dan terburu2, setelah membayar belanjaan di kasir, lupa ngambil barang, baru ingat setelah sampai di rumah
Besoknya pas saya kembali dan mau ngambil barang, sy tanyakan dg petugas, apakah ada kejadian serupa?
Wow, ternyata buku catatan barang yg gak gak keambil alias kelupaan di counter ini tebel bngetttt...

Kejadian yg sama jg pernah sy alami di Mirota Kampus Simanjuntak
Semoga bisa dievaluasi oleh pihak manajemen dan dicari solusi terbaik.",3 tahun lalu
Traveling Yogyakarta,5,Sering kesini buat beli cemilan n bahan pokok. Murah dan cukup lengkap. Kurang daging sapi aja sih yg g ada disana. Pelayanan kasirnya cepet cuma karena memang inj temoat murah jd kesukaan banyak orang kd kadang di waktu2 prime time tumpukan antrian di kasir cukup lama. Tp overall bagus emang mirota ini,Diedit 3 tahun lalu
norah haderan,4,"Suka ke sini...lengkap,bnyk promo dan bersih. Cuma suka ngerasa ribet sama tempat parkirnya aja.",4 tahun lalu
Vaesnavadeva Adhyatma,4,"Selalu menjadi pilihan belanja rekomended karena belanja di sini murah. Lokasinya stategis, hanya yang jadi catatan tempat parkirnya yang sempit dan tempat parkirnya gak ada atapnya, jadi kalau hujan agak repot",4 tahun lalu
Nur Soviana,5,"Pusat belanja para mahasiswa di Yogyakarta nihh. Btw, tempat ini sebenarnya bagus buat berbelanja. Apalagi buat kebutuhan sehari-hari. Hanya saja kesulitan parkir kalau kemarinya naik grab car. Apalagi kalau kita lagi banyak bawa belanjaan wouuuuaahhhh parah beuttt

Tapi sejauh ini sih bapak2 yg jaga parkiran baik2 sihh",4 tahun lalu
Abee Sukarna,4,"One of the most affordable shopping center in Yogyakarta. Had several branches. You may find almost anything of your daily needs here, such as apparels, kitchen utensils, foods, veggies, fruits, dairy products, and so on.

Located in the main road of Palagan. Easy to be accessed. But this place has small parking area.",4 tahun lalu
LL,5,"Cukup nyaman untuk berbelanja, lumayan lengkap tapi tidak selengkap mirota cabang lainnya. Tempat antrenya hanya sedikit dan sering terjadi antrean sangat panjang, bikin capek nunggunya.
Parkirannya sih oke, cukup luas ya. Tempatnya juga sangat mudah diakses.",4 tahun lalu
Leo Pamungkas,1,"Utk layanan onlinenya ,lama,lelet,responya kurang,suruh nunggu tidk ada tempat duduknya,semoga diperbaiki lgi",4 tahun lalu
Julio Pratama,5,"Ada parkiran. Tp bayar,

Barang belanjaan bisa dibilang murah dan cukup lengkap.. bersih.",4 tahun lalu
Mitha Afganeta,3,"Pelayanan ramah , semua bagus .
Kecuali SPG WARDAH . Saya sm tmn saya cari kosmetik MAKE OVER tp mungkin drdl mmg gaada SPG MAKE OVER disitu . Mentang2 kita gak beli produk WARDAH , ketus banget ngomongnya . Diperbaiki lagi deh . Demi kenyamanan bersama .",4 tahun lalu
MUHAMMAD NUGROHO,4,ok,4 tahun lalu
Bang Kausar,5,sering belanja disini,4 tahun lalu
Ry 167,5,"Tempat belanja favorite, komplit dan nyaman",4 tahun lalu
Nurfiana HBasri,5,"Produk lengkap, harga murah dan pelayanan ramah, tempatnya juga nyaman dan aman",4 tahun lalu
Kewel 06,5,"Lengkap,
Cuman untuk daging dan seafood msih kurang",4 tahun lalu
m sanjaya,5,Overall oke. Diskonnya diperbanyak ya,4 tahun lalu
Elizabeth Pradipta,5,Excellent store supervisor & has a fresh fruit too. Be there on Wednesday for special discounts on fruits.,4 tahun lalu
Hanif Budiarti,4,"lumayan lengkap, harga yah standar hehe",4 tahun lalu
lindasiipo,5,"Murah,lengkap dari sayur mayur sampai pakaian dan alat tulispun ada.yang terpenting menjalankan prokes dengan baik.",4 tahun lalu
Joharsono Machfoedh,5,"Barang yg dijual cukup lengkap,  harga bersaing, selama pandemi menerapkan protokol kesehatan secara konsisten",4 tahun lalu
Livia Pratiwi Agustin,5,"Selalu belanja bulanan disini, selain dekat dari rumah, pilihan nya juga lengkap, harganya sudah pasti murah, dan nyaman juga tempatnya. Tapi pastikan hati-hati berkunjung saat akhir bulan dan awal bulan karena pasti full sekali. Tapi sejauh ini selama pandemi dan ppkm prokesnya berjalan lancar, pengunjung yg masuk juga di batasi dengan antrian jadi tidak overload di dalamnya, sehingga cukup nyaman dan tenang untuk berbelanja.",4 tahun lalu
