nama_penulis,rating,teks_ulasan,waktu
Jauhari Ary,5,Tempat belanja anak kampus,11 bulan lalu
Santty,5,Pertama kali kesini agk sdikit kecewa tpi alhamdulillah masalahnya langsung teratasi dengan baik biasa saya langganan di manna kampus minomartani ini nyoba kesini karna lebih lengkap dri mulai peralatan dapur baju pokoknya serba ada dan sekalian jln2 tempatnya bagus nyaman banyak buah dan sayur yng segar2,11 bulan lalu
Sam Tara,1,Untuk pihak mirota kampus tolong banget tukang parkirnya ditertibkan terutama kakek tua rambut uban semua dan bau tanah yg di pintu keluar itu tidak jujur dan sudah banyak juga yg komplain. Saya sudah berlangganan lama di mirota dan tau tarif parkir resmi 1000 rupiah tapi mereka kalo dikasih 2000 tidak dikasih kembalian dan pernah kasih 5000 hanya dikasih kembalian 3000. Orang2 yg komplain seperti itu bukannya tidak punya uang tapi tindakan mereka itu sangat curang sekali dan merugikan pelanggan dan pastinya itu bentuk nyata dari korupsi kecil dan hanya memperburuk citra mirota kampus aja. Terimakasih !,11 bulan lalu
Andik Widianto,5,"Tempatnya luas dan nyaman untuk berbelanja, pelayanannya ramah, barang yang dijual juga bervariasi.",Diedit 11 bulan lalu
Solikhatun fuadah,4,"Tempat belanja murah, banyak diskon dan promo, cocok buat para mahasiswa, pelajar",11 bulan lalu
Reyna Normalita,5,"Lengkap banget! Mau beli apa aja ada semua deh kayaknya disini.

p.s. kalo bisa bukanya lebih pagi dong, sering butuh beli disini tapi harus nunggu siang :(",11 bulan lalu
Suntoro Atmojo,5,"Rumah belanja sejak SMA... Meskipun blm mendapatkan hadiah...
Harganya bisa dijual LG yg pasti...",11 bulan lalu
Fitriana Ari Setyawati,2,"sistem parkir cacat dari tahun ke tahun harga tertera di toko parkir 1 rb tapi tukang parkir minta 2 rb pas kami liat di tulisan 1 rb lalu tukang parkir ""katanya motor besar jadi 2 rb dengan nada nyolot"" mohon pihak manajemen mirota kampus SIMANJUNTAK dikoreksi karena di mirota cabang lain sudah tertib dan sesuai aturan.",11 bulan lalu
sutari windyastuti,5,"Tolong kasih tau ke kasirnya kalau nglayanin jangan sama bercanda, apalagi yg blakangnya berisik banget",11 bulan lalu
Ining Pusposari,5,Pengen belanja bulanan hemat kesini aja.,11 bulan lalu
nurul nazmi,5,"Mungkin karena barangnya banyak, sedangkan tempatnya tidak terlalu besar.. Mungkin bisa di tambah luasnya, supaya dikasirnya tidak antri lama.. Harga2 nya untuk sembako lumayan ramah di kantong..",Diedit 11 bulan lalu
Shahnas Safitri,5,Tempat belanja andalan anak kost dan rumah tangga. Harga terjangkau dan lengkap ,11 bulan lalu
Yayan Rika Harari,5,"Tempat belanja yang lengkap, lokasi mudah dijangkau, harga juga cukup aman di dompet.",11 bulan lalu
Danang Nurcahyo,5,"tempat belanja yang lengkap, dan pelayanan yang ramah, terima kasih manna kampus.",setahun lalu
Dede Agustina,5,"Tempat belanja bulanan, yang murah dan dekat dengan kampus",setahun lalu
Arniaty Lafifa,5,"Went here many times.
Lower price on many common items you'd usually find in those well-known convenient stores. Wide range of variety to chose. And... there's this Pukis & Bikang seller up front their entrance door, their pukis are Aaammmaazzzing",Diedit setahun lalu
Nur Hayati Aulia,5,Tempat belanja yang lengkap dan murah,setahun lalu
Herdin Hastono,5,"Tempat belanja yang bersih dan nyaman, di sini juga menyediakan popok bayi MAKUKU, popok dewasa Parenty dan pembalut wanita LADIS DREAM.",setahun lalu
Sebastian Indonesia Tour & Travel,5,"Good place for shopping, has good price, many discounts, choices and the parking crew are so helpful",Diedit setahun lalu
Abdul Muis,5,Tempat belanja murah hemat dan bersahabat ya di mana kampus silahkan anda datang ke sini dari berbagai penjuru Anda bisa langsung datang ke sini namun upayakan tidak membawa kendaraan roda empat karena parkir yang sangat sempit kemudian kurang memadai usahakan datang ke sini dengan menggunakan roda dua,setahun lalu
Arunika,4,Tempat belanja paliing mumer sejak lama selalu kesini.tapi 1thunan ini kl lewat cntr tissu ada beberapa sales tissu menawarkan produk dia selalu maksa.dan parahnya saya ambil tissu yg hijau gambar panda.trs di kejar saya sdh ke lorong perawatan rambut sm sales tissu merk montiss trs dia paksa saya sru ganti tissu hjau gambar panda itu katanya itu bahan daur ulang trs paksa saya dengan ocehan nya saya bilang gpp mba saya mw tissu hijau pnda ini.,setahun lalu
Denih Sobariah,5,Semua yang kami butuh lengkap tersedia,setahun lalu
tri handayani,5,Banyak diskon cocok untuk berbelanja berbagai macam sayuran,Diedit setahun lalu
bambang bawono,3,"Tempatnya nyaman untuk berbelanja, untuk kebutuhan sehari-hari harganya kompetitif, parkirnya luas",Diedit setahun lalu
chrisdy asmurianto,5,"Market di tengah Kampus ,harganya pelajar...",setahun lalu
Hubertus Gilang OJI,5,"Salah satu cabang Manna Kampus yang sangat ramai menurut saya sejak pertama kali datang pada Desember 2015.

Mengingat lokasinya dekat dengan sekolah, kampus, dan berbagai tempat makan serta toko-toko tertentu.

Banyaknya volume kendaraan yang masuk dan betapa cukup panjang antrian di tiap kasirnya.

Terdapat galeri ATM dan tempat service jam.",setahun lalu
Chelsy Javieranda05,1,"Mbak penjaga kosmetik didepan pixy tolong kalau melayani harap sabar ya, Aku lagi milih2 lipstik diburu2,Kami bukan minta dilayani seperti raja mbak!! Tapi jangan diburu2 kalau lg milih shade lipstik",setahun lalu
Ananda Sevma,4,"Tersedia makanan dan minuman instan maupun non-instan. Jika sudah ramai mengular di kasir, tidak ada ruang untuk ambil beberapa produk. eh",setahun lalu
Zunas,5,Swalayan populer yang ada di Jogja nih . Sedari kuliah sampai sekarang cabang udah dimana-mana. Harga sangat murah dan barang-barang lengkap. Tiap belanja bulanan wajib ke Mirota. Sukses dan Jaya terus ,setahun lalu
M Shohif Anfal,5,bagus,setahun lalu
Pucho,1,Harga tidak sesuai,setahun lalu
siti choiriyah,5,Good,setahun lalu
Rusita Sari,5,Lengkap,setahun lalu
Ridwan Ridwan,5,Bagus tokonya,Diedit setahun lalu
Lio Nita Debora,1,"Yg dibagian pelayanan karcis parkirnya ibu"" nya yg layanin ga ramah jutek dan kalo ngomong teriak"" ketus",setahun lalu
Defrian Hidayat,5,"Tempat belanja komplit di jogja, dari buah, daily needs, baju sampai skincare, komplit banget.
Parkir juga cuma 1000, pelayannya ramah kalau ditanyain
Kalau abis gajian entah tgl 25 atau tgl 1, manna kampus selalu ramai.",Diedit setahun lalu
Nurmara Salsabila,5,"Swalayan yang dekat dengan kampus. Baranganya lengkap, harganya murah. Di lt 1 ada berbagai macam bahan makanan segar maupun instan, persabunan, dan perbumbuan, di lt 2 ada kosmetik, perbajuan, dan ATK, di lt 3 perabotan. Terus karena Mirota perabot pindah ke lt 3 itu, jadi nggak perlu pindah-pindah gedung. Kasirnya ada banyak, tapi paling ramai dan antri di lt 1. Bisa bayar tunai ataupun non tunai. Parkirannya juga luas dan pak parkirnya sangat membantu. Ada atm center juga di timur gedung.",setahun lalu
Risa Yuni,4,"Tempat belanja favorit anak UGM. Disamping barangnya lengkap, harga disini juga cukup terjangkau. Terdapat 3 lantai, lantai 1 berisi kebutuhan sembako, sayur, alat mandi, dsb. Lantai 2 berisi baju, sendal, make up kemudian lantai 3 berisi alat tulis, boneka, dan pernak pernik. Di setiap lantai dilengkapi dengan kasir. Kalau belanja disini sebaiknya pas siang biar gak terlalu ramai. Kalau sudah mulai sore apalagi di hari tertentu yang lagi ada diskon, jangan tanya lagi bisa2 antri kasir sampai 1 jam an. Untuk parkir juga kadangkala penuh jadi mesti parkir didepan Manna yg selatan (yg jual kotak makan dll, pokonya yang depan chatime).

Update terbaru sekarang barang pecah belah jadi satu disini tepatnya di lantai 3",Diedit setahun lalu
Ahmad Faaza,1,"parkirnya bayar lebih jd 2000, tolong ditindak tegas",setahun lalu
GRINGGO CHANNEL,4,tempatnya agak sempit sih tapi lengkap,setahun lalu
Rizka,5,"Lokasi strategis, harga murah dan lengkap",setahun lalu
Hamdi Ahmad Fawwazi,5,"tempat belanja nya mahasiswa, murah murah",setahun lalu
Kusuma Wardani,4,"Pelayanan BAGUS banget, cepat dan ramah,apapun yg di cari insya Alloh ada.",setahun lalu
Imam Samsudin,5,Mrnyediakan semua Kebutuhan,setahun lalu
X Rabbit,5,Sudah g d ragukan lagi .murah n d pojok jalan raya ..parkir luas .barang lengkap n murah .lengkap dri pakaian buah sayur kosmetik dll.untuk hari jumat diskon kosmetik ,setahun lalu
Ning Eko,5,Harga lumayan murah.. Cuman parkir mobilnya sering penuh..,setahun lalu
yudha akhmad permana,5,"Great value for shopping..  ""oleh-oleh"" corner is great..with reasonable price...",setahun lalu
joshua urwon,5,Love it  !!!  ,setahun lalu
Ronaa Nur Afiifah,5,"Tempat andalan buat anak kos belanja bulanan, harganya lebih murah, dan sering ada diskon",setahun lalu
Graceia Kirana,5,"Belanja bulanan pasti kesini, tempat nya lengkap dan banyak diskon nya",setahun lalu
ulil muna,1,"Kemaren blnja disini mba"" kasir nya kurang teliti beli minyak 2 dinotanya 3besok"" lebih diteliti lagi ya mbak,,,, aku ngalamin kayak gini udah 2 kali",setahun lalu
Aditya,5,Harga murah,setahun lalu
Reza Widi,1,"Mohon dengan sangat oknum petugas parkir kendaraan roda 2 ada yg tidak Rama sama sekali smaa pengunjung di tanya baik-baik malah jawabannya dengan nada yg kurang mengenakan
Jangan sampai citra mirota tercoreng gara-gara oknum petugas parkirnya ...!!",setahun lalu
Rizky Andraningtyas,1,"pegawe yg nimbang, yg bulumatanya seperti penyanyi dangdut atitudenya harus dipebaiki. tanya biasa aja kok di judesin+tatapan tajam. abis saya pergi disindir keras bgt sama temennya. kenapa ga pas didepan saya ya mbk. biar ga dilawan ya ? cuma nanya kenapa harus diikat pdhl sblmnya engga. harus ditegur itu karyawan judes bgt. mba nya pake jilbab+masker. heran bgt, pernah di training ga sih soal atitude. apa emang ga punya ya.",setahun lalu
NU-NA sUKa sUKa,5,"MELIpirrr......... Tempat berBelanja berbagai macam kebutuhan pokok harian rumah tangga dan kantor. Sembako, alat rumah tangga, pakaian, alat tulis, makanan harian, roti, cake, kue.  Harganya sangat terjangkau seperti harga grosir, bisa untuk kulakan dan dipajang di warung rakyat.
Produk ya tertata dengan rapi, banyak petugas yang melayani. Pusat informasinya juga ada. Kasirnya tersedia banyak.
Mantabbb",setahun lalu
aji s,5,Pelayanan cepat memuaskan,setahun lalu
Dina Leha,5,"Supermarket dengan berbagai produk dan layanan yang ramah. Banyak sayur dan buah segar. Produk yang ada cukup lengkap.

Saran: tambahkan Rosemary untuk dijual karena belum ada",setahun lalu
Amel Azzahra,1,"Tukang Parkir judes galak tidak ramah, bukanya diarahin dan dibantuin parkir dimana malah DIMARAHIN. keluar lewat pintu parkir sebelah utara masa gaboleh harus muter padahal kos saya di jakal km 5. Saya liat di ulasan juga banyak yang komen tentang tukang parkirnya TOLONG DEH TUKANG PARKIRNYA DIKASI TAUUU!!",setahun lalu
Ajeng Widyastuti,5,Tempat belanja paling recommended di jogja! Harga nya murah murah dan banyak diskon. Pilihan lengkap. Bismillah dapet undian rumah aminn,Diedit setahun lalu
tity shary,5,"Tempat belanja paling murah, lumayan lengkap. Parkirnya paling murah se-jogja",setahun lalu
indriani sri,3,"Tidak disediakan pembayaran pembelian dibawah 10 item barang, jadi malas kesini, kasirnya juga pada jutek",setahun lalu
Jarod Wijayanto,5,belanja mudah segala kebutuhan rumahtangga,Diedit setahun lalu
Budi Prasetya,5,"Tempat belanja keluarga yg istimewa,Murmer utk anak kosss,mhs&pelajar...belanja di sini bisa dpt undian rumah type 36",Diedit setahun lalu
Parama Wida Nugrahanti,5,"Utk kebutuhan anak kos komplit bgt, harga bersaing.",setahun lalu
Trio Nugraha,5,"Belanja segala kebutuhan ada disini. Lokasi strategis. Harus siap ngantri, karena pengunjung harian selalu banyak.",setahun lalu
Annisa Dwita Nur Fauzia,5,hunting baju disini,setahun lalu
elha 310,5,Pengaturan rak rak yang oke,Diedit setahun lalu
Desti Ramadianti,5,"Tempat belanja murah, tokonya lengkap mulai dari kebutuhan pokok, baju sampai peralatan tulis. Harga murah, banyak promo 
Antriannya jadi panjang pol, harap bersabar ",setahun lalu
Hias Thoriq,5,"Tempat belanja bulanan selama kuliah (4 tahun) harga di swalayan ini murah-murah sekali dan lengkap, nyaman, tempat mudah di temukan karena berada di kawasan strategis",setahun lalu
Abdita mahabboy,5,tempat belanja bulanan favorit,setahun lalu
larasati Ay,5,Tempat berbelanja terpercaya..,setahun lalu
Bunna,5,"Lengkap, bersih dan murah..",setahun lalu
Khofifah Inayati,5,Tempat belanja favorit di Jogja...,setahun lalu
Rama Aulia,5,Belanja hemat,Diedit setahun lalu
shantea rasma,4,"Swalayan murah, banyak promo, nggak permah sepi",Diedit setahun lalu
Rita Sudarwati,5,Sangat memuaskan belanja di Manna Kampus,Diedit setahun lalu
Hary,4,mayan,setahun lalu
Frederik Julianus,5,Tempat nyaman harga murah,Diedit setahun lalu
Shafa Nabilah,5,"Sudah menjadi tempat belanja langganan, fasilitas sekarang sudah lengkap, pelayanan sangat ramah.",setahun lalu
lailatul zunaeva,5,"Belanja murah, nyaman, dan banyak pilihan. Kalau udah adzan bisa naik ke lantai 4 buat sholat. PW banget. Sekarang makin banyak kasir jadi no worry ngga lama antri",Diedit setahun lalu
Artmens,5,"Mantap, komplit",setahun lalu
Yuniar Rizky Suryani,5,suka belanja disini barangnya lengkap dan murah,setahun lalu
Sella May,5,wajar kalau ramai belanja disini tergolong murah dan banyak promonya. untuk pelayanan di kasir ramah dan cepat. untuk admin onlinenya pun jg responsif ,setahun lalu
Faisal Akmal,4,Lengkap tp rame banget,setahun lalu
elvin malau,5,Sering ada promo murahnya... Top lah,setahun lalu
Rely Yohan,5,Toko unt belanja yang lengkap area tidak jauh dari kampus UGM,setahun lalu
Sovi Cahya,5,"Lokasi terjangkau, banyak pilihan untuk belanja kebutuhan sehari hari, dan pastinya harga terjaukan dan murah dikantong mahasiswaa mantap",setahun lalu
aisyahputri dinanti,5,"mff ya kemarin aku ga sadar kalau rating 2 aku juga kagett, padahal aku suka banget belanja disiniu mff yh sekali lagi|",Diedit setahun lalu
Eugene Lane,3,"Dari sekian banyak super market grocery yg ada di Yogyakarta, saya paling sering belanja kebutuhan di Mirota kampus. Sebulan bisa 2/3X utk jumlah yg banyak. Kenapa sy sering belanja kesini? Dibandingkan ditempat lain, harga2 disini termasuk "" lebih miring"", dan barang2nya termasuk cukup lengkap. Yg tidak ada ditempat lain, disini ada. Pelayanan juga cukup baik. Ini kelebihannya. Ada kekurangannya?? Yg saya kurang nyaman belanja disini itu adalah, tempatnya ""lumayan sempit n sesak"" utk barang n org2 yg terlalu banyak didalam. Harus siap maju n mundur kena.
Ada ""terlalu banyak"" pegawai supermarket disini (tidak spt ditempat2 lain) yg nyebar dimana2, dimulai dari pintu masuk ada bbrp laki2 mgkn security yg berdiri di dekat lorong buah, pegawai2 yg lagi bekerja nyusun/bawa barang or yg hanya sekedar berdiri2 sambil ngobrol di lorong2. Dan bagi saya Situasi ini cukup membuat berbelanja disana menjadi sangat tidak nyaman n terganggu untuk pembeli bisa berlalu lalang kesana kemari apalagi jika harus bawa troli, dan ingin melihat2 n mengambil barang dgn leluasa karena Sepertinya jumlah pengunjung dan pegawai disana sama banyak. Sekian tks.",setahun lalu
gail jiang,5,"Ren Hen Duo,Zai Zhe Li Mai Liao Ka Pei He Qiao Ke Li Zuo Ji Nian Pin,Shen Zhi Kan Dao Liao Gui Ling Gao,Ke Xi Dang Shi Chi Cheng Liao Suo Yi Mei You Chang Shi",setahun lalu
Nathaniel Davin Eka Putra,5,"Tempat belanja terlengkap termurah untuk mahasiswa Jogja. Langganan anak UGM, recommended banget. Kasir juga sekarang banyak, jadi antrian lumayan cepat teratasi. Saran, jangan kesini jam pulang kerja, atau peak hour weekend.",setahun lalu
Angelita Rehulina,3,"Ramai banget sampe susah mau jalan, pelayanan ramah, cuma minus tukang parkir ga punya akhlak",setahun lalu
Lawu Arie,5,"Tempat belanja hemat, seperti lagunya. Tapi penuh sesak, sejak di parkiran hingga kasir.",setahun lalu
Herdianto 77,5,Langganan sejak dulu kala,Diedit setahun lalu
Yasinta Dewi Umi Latifah,5,Tempat belanja terlengkap dan murah seantero jogja,setahun lalu
amel,1,"bapak2 parkir yg narikin duit nyolot bgt, mana tarifnya ga nentu seringnya 2rb pdhl udah ada di papan depan 1rb",setahun lalu
Anis Hidayah,5,kualitas  pertahankan selamanya ,setahun lalu
MuRakumo,5,Beli gelas,setahun lalu
windi kinasih,5,Toko Langganan dari jaman kuliah dulu. Harga bersaing dan pelayanan memuaskan,Diedit setahun lalu
Krisnadi Cahyo Yuliardi,5,Antre panjang harus sabar,setahun lalu
Wahyu Permana,5,"Lokasinya mudah ditemukan. Parkirannya luas. Disini bisa berbelanja kebutuhan sehari-hari dan barang barang keperluan anak kos. Untuk peralatan rumah tangga, bisa ke sebelahnya, selang 2 gedung. Harganya sangat terjangkau. Untuk perlatan rumah tangga, tersedia banyak sekali barang barang yang dibutuhkan oleh anak kos.",setahun lalu
Titan Titanix,5,"Semua barang kebutuhan mahasiswa bisa dibeli di sini dengan harga yang sangat murah. Namun ya pelayanannnya gak sebagus super market biasanya, sering antri panjang, crowded",Diedit setahun lalu
Nothing's here,5,"Disini barangnya murah murah, sering diskon jg. Buat anak kos yg kosan nya ga punya kulkas, bisa banget beli nugget eceran disini. Ga cuma nugget, ada sosis, tempura, dkk. Ditimbang, bayarnya pertimbangan. Buahnya seger seger, sayurnya juga seger dan lengkap. Parkirnya cuma bayar 1k, kalo malem ruame bgt si disini. Jadi kalo belanja pas pagi atau siang aja, lumayan sepi. Kadang jg rame si, soalnya emg jujukan orang orang kalo mau belanja ya disini.",setahun lalu
Ki Bagong,3,tempat belanja elit parkiran sulit,setahun lalu
Diah Ayu Saputri,5,"Murah & lengkap. Pilih2 waktu kalo belanja disini, karna ramaiii banget sahabat mahasiswa",setahun lalu
Toffan Hussein,3,Bukan tempat belanja bagi yang tidak sabar,setahun lalu
Chrysannita,5,"Harga: dibanding toko swalayan lain, disini harga lehih pas, untuk beberapa kebutuhan.
Lokasi: strategis
Parkir: dibantu kang parkir
Harga parkir: 2rb
Ada penitipan barang.
Barang lt 1 bisa di bayar di kasir lt 2
Yang bikin males beli kesini itu di awal gajian dan awal bulan, bawaannya buru buru, biar ngantri di kasirnya cepet.",setahun lalu
Bima Sajjad (Bima),5,Securitynya suka bantu.,setahun lalu
Gunadi,5,Pusat perbelanjaan serba ada. Semua kebutuhan sehari2 disini. Harga murah.,setahun lalu
fani herminingsih,5,"Barang lengkap, dan promonyaaa banyak.",Diedit setahun lalu
Eloisa Karin,5,"Kasir tgl 3 sept. Jam 5 sore, di tmpt alat tulis, tolong dong kerjaanya lbh cpt, ky g fokus kerja tengok2 mulu, lelet bgt, antri belanjaan keranjang biru yg isinya pada sedikit masak smp 40 mnt",setahun lalu
Rosita Putri,5,"Murah,lengkap,pelayanan ramah.",setahun lalu
HAFIZH RASYAD NUR PUTRA,5,Love u avita,setahun lalu
febriana wulan,5,"Murah, lengkap. Menerima pembayaran tunai, debit card, qris",setahun lalu
Ainun Hanafiah,5,belanja puas,setahun lalu
"Prof Mudrajad Kuncoro, PhD",4,"harga klas mhs, relatih murah. segala macam brg afa. parkir agak susah",setahun lalu
Ayu Wulandari,5,"Lengkap, apa aja ada. Di dekat pintu masuk banyak stand makanan yang bisa jadi pilihan. Mba kasir ramah, petugas juga informatif",setahun lalu
Jaka Susila,5,Good,setahun lalu
Han Ndoko,5,"Untuk parkirnya tolong di tertibkan lagi agar mau menyebrangkan kendaraan, soalnya utara swalayan bangjonya sangat padat. Terimakasih",setahun lalu
latiffah faradilla,5,"tempat yg menjual barang2 seperti printilan pernak pernik accesories yg lucu 2 dan juga ada baju cewek sepatu sandal tas , dengan harga yg terjangkau",setahun lalu
rismanu andang,4,It has cheap price and parking fee too. It's located nearby UGM and makes the students easier to buy some stuff or food supply.,setahun lalu
Sai L'arc,5,"Perbelanjaan yang sangat ramah di kantong.
Selalu ramai pengunjung.
Staf ramah",setahun lalu
kamar kamaruddin,5,"Cukup ramai, antrian kasir panjang, perlu ditambahkan jumlah kasirnya",setahun lalu
Robert Umbu,5,"Murah,lengkap,cuma antriannya harus sabarr banget.",setahun lalu
Rob God,5,"Termurah,terlengkap.",setahun lalu
Priska Kristiani,5,Supermarket yg lengkap,setahun lalu
Silmi HD,1,"pertama dan terakhir kalinya kesini tukang parkirnya tidak ramah ngasih tau sambil marah-marah perkara kunci stang doang padahal pas masuk gaada tukang parkirnya jadi gatau kalau gaboleh dikunci, tolong ditindak petugas yang jaga",setahun lalu
Agustina Setyaningsih,5,"Lengkap bgt, antri di tanggal2 tertentu, di deket pintu keluar ada jualan bakso, endulitaa",setahun lalu
Thoriq Fauzul Azhim,4,"Tempatnya agak sempit, bangunan persis di perempatan jalan jadi kendaraan seliweran keluar masuk area dan ramai karena ada lampu merah. Suasana didalam toko cukup rapih dan nyaman",setahun lalu
putra ploso,5,"Mantab... Barang komplit, harga murah, pelayanan sangat bagus",setahun lalu
SW Chanel,4,Mantap,setahun lalu
vat budhiardjo,3,"harganya cukup kompetitif, pegawai dan kasir ramah dan siap membantu, terlalu padat",setahun lalu
orpheus,1,bapak bapak penjaga jam 4 tidak ramah,setahun lalu
Syaa Aprila,1,"sudah bertahun-tahun saya belanja di Mirota UGM, tetapi baru kali ini saya kurang nyaman dengan pelayanannya. Jadi saya menitipkan tas ke tempat penitipan tas mas penjaganya bilang ""Langsung ambil saja"" saya iyain karna saya berpikir bahwa kartu nya sudah habis (kebetulan ramai sekali) yasudah saya pergi dan belanja setelah saya selesai belanja saya lihat di tempat yang langsung di ambil tas saya tidak ada, saya langsung antri saya pikir mungkin sudah di siapkan di tempat khusus bukan tempat ini lagi, tetapi sesampainya saya di depan masnya, masnya bilang ""mana tiketnya"" sambil mengulurkan tangan saya bingung, kenapa saya di mintain juga sementara tadi dia bilang bahwa langsung di ambil saja, saya sedikit kesal karna seharusnya dia bertanggungjawab atas omongannya karna saya hampir di tuduh menghilangkan tiket, kurang ajar bukan? saya tau sedang ramai tetapi jika anda berani ngomong seperti itu bertanggungjawab lah!. Setelah beberapa menit dia mengambil tas dan menunjukkan sambil bertanya ""yang ini?"" saya jawab ""iya"" mas nya pun bilang ""lupa"", tetapi tidak dengan maaf. Menurut saya itu kurang ajar karna itu ramai dan saya seperti di permalukan karna di tuduh menghilangkan tiket dan dengan santainya dia hanya bilang ""lupa"". Untuk Mirota UGM semoga ini bisa menjadi pelajaran dan jangan di ulangi kembali.",setahun lalu
bagus widyat moko utomo,5,Tempat belanja yang beraneka ragam sangat lengkap dan memenuhi segala kebutuhan publik dalam sehari-hari,setahun lalu
MUSTOFA MURTAJI,5,Jika ingin cari keperluan kost...cocok ini tempatnya. Lengkap dan harga terjangkau,setahun lalu
Jati Prasetyo,2,Ramai sih ramai tapi tukang parkirnya jangan asal pindah/geser motor pelanggan. Motor saya baru baret2 belanja di situ.,setahun lalu
Aisyah Atha,1,"Tolong pihak mirota, saya benci bgt sm mba ini. Saya lagi pilih baju sm topi cardinal buat hadiah adik saya, tapi SIKAP MBA NYA SANGAT BURUK!
santai aja mba, saya cuma lagi milih bukan lagi maling. Ngremehin amat mba wkwk.",setahun lalu
Afifah Hera,5,"one of my favorites!
serba ada dan harga oke~
in frame: antri kasir Mirota di awal bulan:)",setahun lalu
Winasista Salarina,5,Tempat belanja favorit keluarga,setahun lalu
ZEE,3,Lumayann,setahun lalu
aan id,5,"Tempat luas, lengkap dan nyaman serta harga kompetitifv, opsi yang bagus untuk belanja bulanan",setahun lalu
Hilmi Rusyadi,5,Barangnya murah dan cocok banget buat anak kos. Banyak promo,setahun lalu
Lilin Indah Marianah,5,Tempatnya cozy sekaliii,setahun lalu
rizal afif,2,"Gedein parkiran dong tolong, atau ngga ada yang jaga di depan parkir mobil biar ngga pada nyerobot",setahun lalu
Muhamad Nastain,5,"Tempat belanja bulanan. Ada 3 lantai, lantai 1 paling lengkap, harga kompetitif",setahun lalu
Putu Aryapap,5,Cozi,Diedit setahun lalu
Mayang Brilia Hapsari,5,"Groceries andalan anak kos, serba ada dan murah. Antri kasirnya panjang, tapi cepet kok. Prefer bawa bag sendiri yaa. Tapi disini kalo beli banyak tetep dihitung harga eceran :( Minusnya cuma itu, lainnya ok!",setahun lalu
NoviaSD,5,"Tempat belanja kebutuhan bulanan andalan sejak lama, dimanapun kosnya, belanjanya tetap ke mirota. Barang kebutuhan lengkap, harga jg lbh murah dan sering dpt promo. Utk suasana oke standar, layanan baik tapi msih perlu ditingkatkan ya terutama yg lantai 3, karyawan harus ramah dan harus bersegera membantu kebutuhan konsumen yg ditanyakan, jangan ogah2an, smoga kemampuan melayani karyawan lbh ditingkatkan, tks.",setahun lalu
Ahmad Nur Amirulloh,5,"Belanja bulanan selalu di Mirota selain harga yg murah dan lengkap, kebersihannya juga bagus",setahun lalu
Thomas Galih,5,"Yang suka, bayar bisa tiap lantai. jadi ga perlu ngantri. Barangpun bisa di bawa ke tiap lantai.",setahun lalu
Y Wira,1,"Minta tolong ditegur bapak tua penjaga pos parkir keluar. Saya tau parkir cuma 1.000. Tapi setiap dikasih 2.000 gak mau ngasih kembalian, harus diminta dulu. Kalau diminta kembaliannya, pasti beliau ngembaliinya tidak secara halus, seperti dinyohke gitu langsung. Gak sekali dua kali soalnya. Memang gak seberapa cuma 1.000 rupiah aja, tapi kejujurannya itu lho. Karena kan ini perusahaan parkir yang tarifnya sudah sangat jelas. Terima kasih.",Diedit setahun lalu
Suwiyono suwiyono,5,Siap dari jaman kuliah dulu Tahun 2002 ...tempat ini tetep nyaman dan rekomended untuk mahasiswa,setahun lalu
Muhamad Aditya Setiawan,5,"Tempat belanja murah dan terpercaya. Produk yang dijual cukup lengkap dari kebutuhan sehari-hari, fashion sampai ATK. Terdapat 3 lantai dengan masing-masing lantai memiliki produk yang bervariasi. Lantai pertama untuk kebutuhan sehari-hari, lantai kedua fashion, dan lantai ketiga ATK dan Elektronik",Diedit setahun lalu
Auliya Ihza,5,langganan ke sini tiap Jumat soalnya adaaaa diskon~,setahun lalu
Iwan Sukma Purnawan Yohanes,5,Lengkap.....harga OK,Diedit setahun lalu
Khaldari arrana abdillah,5,"Selalu belanja bulanan disini sih , sejauh ini semua bagus",setahun lalu
henno jls,5,Satu satunya kampus yang siapa aja boleh masuk swalayan satu ini emang legend ya. Semua ada dan super superr lengkap. Kalau hari Jumat ada promo beli lebih murah. Parkiran luas dan tukang parkirnya helpful. Tempatnya strategis tapi kalau ke sana habis tanggal2 gajian harus sabar antrinya ya,setahun lalu
YAN AJI,5,"Tempat strategis dan lengkap dengan harga murah grosir, selalu ramai dikunjungi karena komplit barang nya",setahun lalu
Prof. Dr. Cihat ABDIOGLU,5,"Perfect, cheapest one here",setahun lalu
VAS GAMER,5,makannanya enak. pelayanannya juga ramah.. the best dah pokok nya Nasi tempong Makros.,setahun lalu
Eznameela Eznameela,4,Udah bagus..tapi untuk pengambilan barang yang bernota Jan dilakukan oleh kasir..karena memperlambat pembayaran. Semoga JD koreksi yah..karena antrian JD mengular karena itu,setahun lalu
At Dewi,4,"Udh langganan lama bgtttt 
Utk tempat ga banyak berubah ya, palingan tata letak aja di lantai 1, lantai 2, 3 aman

Tempat yg lengkap, lmyn murah jg utk di supermartketnya
Utk fashion n atk hrg standar, ada yg mahal ada yg murah

Utk parkir kita sndiri yg hrs pinter""
Klo dikasi 2k emg ga dikembaliin jd siapin 1000an aja gt biar ga bikin naik darah wkwkwk",setahun lalu
